# L1 Error for e-1 with reference to e-8 for each species (sorted by error)
# L1_Error    Species
2.17010000e-15    s29
1.91680000e-15    k43
1.83283000e-15    as73
1.62100000e-15    cl38
1.48376100e-15    rb77
1.43149000e-15    zn68
1.28844000e-15    ti51
1.28730000e-15    f19
1.14929200e-15    kr78
1.08836000e-15    na24
8.81100000e-16    p34
8.43660000e-16    mg27
7.60169000e-16    br76
7.01020000e-16    cu66
6.89400000e-16    h3
5.58190000e-16    fe60
5.31827000e-16    br69
4.93770000e-16    se75
4.19210000e-16    rb79
4.16760000e-16    b10
4.08300000e-16    p27
3.71378000e-16    rb76
2.98426000e-16    rb75
2.55887000e-16    ni52
2.22592000e-16    o19
2.22370000e-16    sc49
1.98166000e-16    sr80
1.88602000e-16    co62
1.72847000e-16    ge72
1.72544100e-16    sr78
1.59561100e-16    sr79
1.44155500e-16    rb78
1.19160000e-16    ar41
1.19092000e-16    br77
5.53590000e-17    ca36
5.49161000e-17    ga70
4.51976000e-17    y80
4.02851000e-17    fe48
3.85927000e-17    sr81
3.55130000e-17    ar32
3.50510000e-17    na20
3.02350000e-17    be9
2.75083000e-17    sr77
2.47975000e-17    kr79
2.13640000e-17    c14
2.03662000e-17    co50
1.96383000e-17    se76
1.74165000e-17    rb74
1.41467900e-17    sr82
1.15662000e-17    cr56
1.01640000e-17    o18
9.85419000e-18    rb80
8.86326000e-18    kr71
8.71268000e-18    br68
8.33467000e-18    sr76
8.32140000e-18    mn58
5.52264000e-18    as74
4.98206000e-18    y81
4.95830000e-18    na25
3.93190000e-18    ca47
2.96149000e-18    rb81
2.94000000e-18    cl39
2.93421000e-18    y83
2.51700000e-18    si25
2.40019000e-18    cr44
2.35350000e-18    li7
2.24617000e-18    ni65
2.11630000e-18    cu67
1.72434000e-18    y82
1.27408000e-18    k44
1.16407700e-18    y79
1.12233100e-18    kr80
7.97540000e-19    zn69
7.50900000e-19    al23
6.74900000e-19    mg28
5.76483000e-19    sr83
5.36212000e-19    br78
5.08000000e-19    p35
4.46927000e-19    zr82
4.34840000e-19    s28
4.29560000e-19    ti52
4.22158000e-19    zr83
4.11620000e-19    al30
3.88710000e-19    ar42
3.66632000e-19    ga71
3.29721000e-19    zr84
3.04536000e-19    ge73
2.79673000e-19    rb73
2.50500000e-19    s37
2.37370000e-19    v54
2.34300000e-19    b11
2.00840000e-19    n12
1.87930000e-19    y84
1.86332000e-19    co63
1.76175000e-19    mn46
1.66583000e-19    kr70
1.56905600e-19    zr86
1.53654300e-19    zr85
1.16184000e-19    as75
1.15870700e-19    y85
1.07000000e-19    na19
8.32524000e-20    sr84
7.44277000e-20    se77
7.28110000e-20    b8
5.05300000e-20    mg21
4.07610000e-20    ne23
3.81981000e-20    rb82
3.77474000e-20    sr75
