# L1 Error for e-5 with reference to e-8 for each species (sorted by error)
# L1_Error    Species
2.07000000e-05    ni58
7.82000000e-06    fe55
5.69000000e-06    cr50
5.21000000e-06    ni57
5.06000000e-06    mn53
4.36000000e-06    ni56
3.00000000e-06    fe54
2.82000000e-06    co56
2.76000000e-06    mn52
2.67000000e-06    ni60
2.39000000e-06    ni59
2.20500000e-06    mn51
2.04000000e-06    co55
1.90000000e-06    fe53
1.70600000e-06    cr51
1.55000000e-06    fe56
1.20850000e-06    si28
1.15370000e-06    s32
1.12100000e-06    cr52
8.29000000e-07    cr49
7.92400000e-07    ca40
7.23600000e-07    ar36
6.91000000e-07    mn54
6.72000000e-07    prot
6.20000000e-07    co57
5.90000000e-07    fe52
4.36000000e-07    cu61
4.03100000e-07    ti46
3.97000000e-07    co58
3.48400000e-07    v49
2.93700000e-07    cr48
2.56400000e-07    v47
2.11500000e-07    v48
1.79100000e-07    k39
1.13900000e-07    cl35
1.10600000e-07    ni61
9.61000000e-08    zn62
9.09500000e-08    ar38
8.78000000e-08    co54
8.70000000e-08    cu59
8.51200000e-08    s33
7.27000000e-08    ca41
7.20000000e-08    ti45
7.08100000e-08    ar37
6.78000000e-08    mn55
6.71400000e-08    ti44
6.09000000e-08    cu62
5.99000000e-08    ti47
5.50000000e-08    fe57
5.40700000e-08    s34
5.40000000e-08    p31
5.02000000e-08    zn64
4.70000000e-08    cu60
3.84800000e-08    ca42
3.22100000e-08    si29
3.09000000e-08    zn63
3.03000000e-08    v50
2.76200000e-08    mn50
2.68400000e-08    ti48
2.09900000e-08    cu63
2.00000000e-08    he4
1.89000000e-08    sc43
1.77000000e-08    cr53
1.52200000e-08    cu58
1.32700000e-08    ni62
9.76900000e-09    cl34
8.44000000e-09    v51
7.90200000e-09    si30
7.81700000e-09    k38
6.90300000e-09    p30
5.25900000e-09    sc44
4.88800000e-09    sc45
4.57000000e-09    zn65
4.12400000e-09    mg24
3.04900000e-09    ga65
2.95800000e-09    o16
2.93500000e-09    k40
2.85500000e-09    v46
2.80000000e-09    co59
2.66900000e-09    cl36
1.68200000e-09    ni55
1.49800000e-09    p29
1.41600000e-09    c12
1.35400000e-09    cl33
1.28800000e-09    ca43
1.27190000e-09    s31
1.25000000e-09    fe58
1.04000000e-09    sc42
1.03010000e-09    ar35
9.30000000e-10    zn60
8.84300000e-10    al27
8.59000000e-10    fe51
7.89000000e-10    zn66
7.69400000e-10    p32
7.01000000e-10    cu64
6.36000000e-10    co60
5.96200000e-10    ca39
5.87000000e-10    ga66
4.90100000e-10    ga67
4.50100000e-10    cl37
4.10800000e-10    k37
4.00000000e-10    zn61
3.94000000e-10    ga64
3.77000000e-10    co53
3.62000000e-10    ti49
3.59700000e-10    mn49
3.18000000e-10    ga63
2.93900000e-10    ge68
2.25000000e-10    ar39
2.17600000e-10    sc41
2.00000000e-10    k41
1.95100000e-10    ca44
1.82600000e-10    ge66
1.62200000e-10    sc46
1.32900000e-10    ni63
1.24200000e-10    s35
1.17100000e-10    ge67
1.09000000e-10    neut
1.00200000e-10    cr47
6.37000000e-11    ga62
6.22200000e-11    v45
6.10700000e-11    si27
5.58100000e-11    ge69
5.17100000e-11    ne20
5.10000000e-11    mn56
