# L1 Error for e-1 with reference to e-8 for each species (sorted by error)
# L1_Error    Species
3.21239000e-03    fe56
3.04962000e-03    fe55
2.59920000e-03    fe54
2.59447000e-03    co57
1.65903000e-03    ni58
1.63732000e-03    mn53
1.60581000e-03    ni59
1.19213000e-03    ni60
1.17965000e-03    co56
7.80720000e-04    co58
6.85600000e-04    he4
6.36640000e-04    cr52
6.26110000e-04    mn54
3.73400000e-04    cr51
3.27720000e-04    fe57
3.15610000e-04    cr50
3.07100000e-04    mn52
2.58910000e-04    co55
2.08396000e-04    ni61
2.08234000e-04    cu61
2.07583000e-04    co59
1.95200000e-04    ni57
1.76266000e-04    mn55
1.63425000e-04    prot
1.00720000e-04    fe53
1.00214000e-04    cu62
8.88700000e-05    cu60
8.34220000e-05    v49
6.62980000e-05    cr53
4.70350000e-05    mn51
3.88572000e-05    cu63
3.24388000e-05    v50
2.96277000e-05    fe58
2.95922000e-05    zn64
2.92847000e-05    ni62
2.71997000e-05    zn63
2.44960000e-05    v51
2.38490000e-05    cu59
2.08681000e-05    zn62
2.02740000e-05    v48
1.77260000e-05    ti46
1.75360000e-05    ni56
1.67129000e-05    ti48
1.42966000e-05    ti47
1.33060000e-05    cr49
1.19500000e-05    si28
9.69300000e-06    co60
9.47710000e-06    s32
8.18200000e-06    fe52
7.18670000e-06    zn65
6.83140000e-06    cr54
5.89340000e-06    ar36
5.14170000e-06    ca40
5.04147000e-06    mn56
3.89790000e-06    v47
3.09039000e-06    cu64
2.63340000e-06    zn61
2.46989000e-06    ti49
2.11070000e-06    cr48
2.05436000e-06    ga65
1.97290000e-06    ar38
1.93763000e-06    sc45
1.82790000e-06    ca42
1.63385000e-06    zn66
1.02550000e-06    ti45
9.41560000e-07    ga66
9.31000000e-07    s34
9.22660000e-07    ni63
9.01670000e-07    ga67
7.65260000e-07    neut
7.17440000e-07    v52
7.05870000e-07    sc44
6.57050000e-07    ti50
6.15300000e-07    s33
6.02400000e-07    cl35
5.70880000e-07    ti44
5.55260000e-07    ca43
5.53760000e-07    p31
5.37640000e-07    ga64
4.38570000e-07    sc46
4.21530000e-07    si29
3.91171000e-07    co61
3.56123000e-07    fe59
2.99624000e-07    cu65
2.73180000e-07    cu58
2.68620000e-07    k40
2.66100000e-07    ca41
2.64299000e-07    ca44
2.41165000e-07    ge68
2.39120000e-07    sc43
2.21880000e-07    cl34
1.94093000e-07    p30
1.86900000e-07    k39
1.77870000e-07    ga63
1.58036000e-07    ge67
1.53170000e-07    cl36
1.41980000e-07    k38
1.40400000e-07    mn50
1.39202000e-07    sc47
1.34700000e-07    ar37
1.26300000e-07    mg24
1.24723000e-07    o16
1.23700000e-07    co54
1.13555000e-07    cl37
1.11197000e-07    ge69
1.10614000e-07    k41
1.08867000e-07    zn67
1.05330000e-07    si30
1.01230000e-07    zn60
9.93500000e-08    ga68
9.11910000e-08    mn57
9.09500000e-08    ar39
8.27790000e-08    ge66
6.84400000e-08    c12
5.35080000e-08    cr55
5.00710000e-08    p29
4.39830000e-08    ni55
4.32450000e-08    cl33
4.12100000e-08    s35
3.87793000e-08    ge70
3.85630000e-08    p32
3.79520000e-08    s31
3.33220000e-08    al27
3.11080000e-08    ar35
2.75370000e-08    v46
2.55993000e-08    ni64
2.40120000e-08    fe51
2.21770000e-08    ga69
2.01630000e-08    sc42
1.93440000e-08    co53
1.80410000e-08    cu57
1.75852000e-08    ca45
1.63802000e-08    ca39
1.62044000e-08    k37
1.54382000e-08    p33
1.49406000e-08    v53
1.38460000e-08    mn49
1.32876000e-08    sc48
1.17949000e-08    as71
1.07067000e-08    as69
9.46790000e-09    ar40
9.05430000e-09    sc41
8.54330000e-09    as70
7.82540000e-09    k42
6.67570000e-09    ga62
6.22657000e-09    cu66
5.60922000e-09    ge71
5.23662000e-09    ti51
5.06924000e-09    fe60
5.04790000e-09    s36
4.95842000e-09    zn68
4.62890000e-09    ne20
4.48110000e-09    si31
4.07650000e-09    si27
3.75330000e-09    cr47
3.50060000e-09    ge65
3.31016000e-09    co62
3.24630000e-09    al26
2.98650000e-09    v45
2.63655000e-09    se72
2.55980000e-09    mg25
2.40687000e-09    as72
2.14528000e-09    ca46
2.04899000e-09    se73
1.47646000e-09    as68
1.38340000e-09    se74
1.36087000e-09    sc49
