  -1.6921073814093730E+12  8.3145112177444756E+22 -1.8168250759657073E+09 -8.3145112119486180E+34 -1.2471772071609028E+05  8.3145112090508411E+19  1.0000000000000000E+03  4.5708976297260813E+07  3.3945513438786022E+18
  -1.6729625118221982E+12  6.6044510193782425E+22 -1.7976802064010429E+09 -5.2461019149418816E+34 -1.2471772070483460E+05  6.6044510106843210E+19  1.0000000000000000E+03  4.1404384007245727E+07  2.6455088648419542E+17
  -1.6538176422311436E+12  5.2461019207377609E+22 -1.7785353368383274E+09 -3.3100665331242013E+34 -1.2471772069066539E+05  5.2461019120440410E+19 -3.3100665277979087E+31  4.4176251149852678E+07 -1.9705034619073930E+18
  -1.6346727726351934E+12  4.1671268790753189E+22 -1.7593904672780538E+09 -2.0885107897927908E+34 -1.2471772067282711E+05  4.1671268703815492E+19 -2.0885107892477970E+31  4.3916189209442422E+07 -3.2121810715702410E+18
  -1.6155279030330862E+12  3.3100665389200498E+22 -1.7402455977208610E+09 -1.3177612218458914E+34 -1.2471772065036997E+05  3.3100665302262657E+19 -1.3177612206473554E+31  4.2916738964434013E+07  2.8246897009718650E+17
  -1.5963830334232275E+12  2.6292793118723269E+22 -1.7211007281675460E+09 -8.3145112119486147E+33 -1.2471772062209772E+05  2.6292793031785984E+19 -8.3145112047890503E+30  4.2272146290332161E+07 -1.3321666827417697E+18
  -1.5772381638036030E+12  2.0885107955886643E+22 -1.7019558586191058E+09 -5.2461019149418869E+33 -1.2471772058650575E+05  2.0885107868948349E+19 -5.2461019257356034E+30  4.3086819526837170E+07  4.2586419461391840E+17
  -1.5580932941716941E+12  1.6589630946545943E+22 -1.6828109890768125E+09 -3.3100665331241906E+33 -1.2471772054169787E+05  1.6589630859607470E+19 -3.3100665284218023E+30  4.3196740553687543E+07  3.4852856308059688E+16
  -1.5389484245243191E+12  1.3177612276417595E+22 -1.6636661195422573E+09 -2.0885107897927930E+33 -1.2471772048528829E+05  1.3177612189479823E+19 -2.0885107914896378E+30  4.4228656740438148E+07  8.4595093235061056E+16
  -1.5198035548574646E+12  1.0467349509328266E+22 -1.6445212500174341E+09 -1.3177612218458904E+33 -1.2471772041427215E+05  1.0467349422390102E+19 -1.3177612213612222E+30  4.3594507614465676E+07  2.6349919372153244E+14
  -1.5006586851660964E+12  8.3145112699072665E+21 -1.6253763805048728E+09 -8.3145112119486084E+32 -1.2471772032486901E+05  8.3145111829692826E+18 -8.3145112012324347E+29  4.3418146653182611E+07 -2.1756446116255152E+16
  -1.4815138154438628E+12  6.6044510715410530E+21 -1.6062315110077441E+09 -5.2461019149418947E+32 -1.2471772021231648E+05  6.6044509846030961E+18 -5.2461019080217173E+29  4.3542270527921148E+07 -8.6302926349244960E+16
  -1.4623689456827725E+12  5.2461019729005652E+21 -1.5870866415300436E+09 -3.3100665331242057E+32 -1.2471772007062148E+05  5.2461018859626220E+18 -3.3100665312246403E+29  4.3484275807009406E+07 -6.5230661852205072E+16
  -1.4432240758727637E+12  4.1671269312381264E+21 -1.5679417720768018E+09 -2.0885107897927981E+32 -1.2471771989223830E+05  4.1671268443002245E+18 -2.0885107874838447E+29  4.3543148938813709E+07  4.4141054847904095E+15
  -1.4240792060011663E+12  3.3100665910828461E+21 -1.5487969026543469E+09 -1.3177612218458888E+32 -1.2471771966766646E+05  3.3100665041447434E+18 -1.3177612217450558E+29  4.3383988204299003E+07  7.7540131299927960E+15
  -1.4049343360520447E+12  2.6292793640351223E+21 -1.5296520332706625E+09 -8.3145112119485904E+31 -1.2471771938494746E+05  2.6292792770970588E+18 -8.3145112091630329E+28  4.3376977033694163E+07  7.7385545267489725E+14
  -1.3857894660053191E+12  2.0885108477514644E+21 -1.5105071639357805E+09 -5.2461019149418911E+31 -1.2471771902902598E+05  2.0885107608134459E+18 -5.2461019164925519E+28  4.3423279717558883E+07  1.7304467679682028E+14
  -1.3666445958357166E+12  1.6589631468173973E+21 -1.4913622946623359E+09 -3.3100665331242025E+31 -1.2471771858094702E+05  1.6589630598793882E+18 -3.3100665298434535E+28  4.3426357047809027E+07  4.9998302140450344E+14
  -1.3474997255114199E+12  1.3177612798045572E+21 -1.4722174254662347E+09 -2.0885107897927866E+31 -1.2471771801684894E+05  1.3177611928665170E+18 -2.0885107906919926E+28  4.3423859075779848E+07 -5.6551463875608712E+14
  -1.3283548549923799E+12  1.0467350030956267E+21 -1.4530725563675091E+09 -1.3177612218458917E+31 -1.2471771730669163E+05  1.0467349161575948E+18 -1.3177612230928896E+28  4.3436455490571551E+07 -2.3241463268505888E+14
  -1.3092099842281675E+12  8.3145117915352518E+20 -1.4339276873913662E+09 -8.3145112119485814E+30 -1.2471771641265604E+05  8.3145109221547725E+17 -8.3145112084458252E+27  4.3441752925140537E+07  2.8783938560956794E+14
  -1.2900651131553071E+12  6.6044515931690448E+20 -1.4147828185695524E+09 -5.2461019149418960E+30 -1.2471771528713277E+05  6.6044507237887245E+17 -5.2461019189963314E+27  4.3430799305698387E+07  6.3509550441243000E+14
  -1.2709202416938772E+12  5.2461024945285523E+20 -1.3956379499420221E+09 -3.3100665331242020E+30 -1.2471771387018300E+05  5.2461016251482944E+17 -3.3100665283561604E+27  4.3507058815583967E+07 -1.0922336736048780E+14
  -1.2517753697432690E+12  4.1671274528661144E+20 -1.3764930815590820E+09 -2.0885107897927985E+30 -1.2471771208634871E+05  4.1671265834859398E+17 -2.0885107870531568E+27  4.3461723031263128E+07  8.4430372833962490E+12
  -1.2326304971768174E+12  3.3100671127108393E+20 -1.3573482134840584E+09 -1.3177612218458951E+30 -1.2471770984063391E+05  3.3100662433305478E+17 -1.3177612216818841E+27  4.3451000288346887E+07  1.3952174028940330E+14
  -1.2134856238350725E+12  2.6292798856631101E+20 -1.3382033457966862E+09 -8.3145112119486275E+29 -1.2471770701344659E+05  2.6292790162828538E+17 -8.3145112097823613E+26  4.3467410575980097E+07  5.8167990853266461E+13
  -1.1943407495172881E+12  2.0885113693794497E+20 -1.3190584785973356E+09 -5.2461019149419401E+29 -1.2471770345422946E+05  2.0885104999992413E+17 -5.2461019145572017E+26  4.3459187347074710E+07 -1.1075199095588104E+11
  -1.1751958739707407E+12  1.6589636684453763E+20 -1.2999136120123649E+09 -3.3100665331242438E+29 -1.2471769897344061E+05  1.6589627990651850E+17 -3.3100665335302568E+26  4.3467953695307322E+07 -7.1908899633424062E+12
  -1.1560509968772727E+12  1.3177618014325324E+20 -1.2807687462008533E+09 -2.0885107897928318E+29 -1.2471769333246208E+05  1.3177609320523320E+17 -2.0885107891300507E+26  4.3468730647370443E+07 -6.7129178629101934E+12
  -1.1369061178363486E+12  1.0467355247235934E+20 -1.2616238813630707E+09 -1.3177612218459330E+29 -1.2471768623089115E+05  1.0467346553434054E+17 -1.3177612213727347E+26  4.3464785667107835E+07  5.5849743264756670E+12
  -1.1177612363437246E+12  8.3145170078148526E+19 -1.2424790177511420E+09 -8.3145112119490318E+28 -1.2471767729054432E+05  8.3145083140133872E+16 -8.3145112093157688E+25  4.3467249253148109E+07  1.8006727430555560E+11
