# L1 Error for e-1 with reference to e-8 for each species (sorted by error)
# L1_Error    Species
7.58300000e-23    o19
7.36572700e-23    ga68
5.62014300e-23    ca46
5.25933300e-23    br73
3.55756000e-23    br72
3.01250000e-23    n12
2.82050500e-23    kr74
2.40966700e-23    mn57
1.79315620e-23    kr72
1.57703450e-23    cr55
1.57296400e-23    si24
1.39684474e-23    br69
1.34939100e-23    b10
9.82673400e-24    na25
8.82329400e-24    b11
7.85065200e-24    br70
6.91585300e-24    ar41
6.26238000e-24    kr73
2.31660900e-24    se73
1.95167680e-24    kr76
1.56483270e-24    zn67
1.44673900e-24    be9
1.38497522e-24    sr82
1.10670696e-24    kr78
9.90907000e-25    v53
7.94382841e-25    zr86
7.91904366e-25    sr80
7.89994500e-25    kr75
6.57539000e-25    ne17
5.39100300e-25    ti51
2.99729000e-25    mn46
2.84757360e-25    se74
2.14829000e-25    br74
1.90297837e-25    rb79
1.50981540e-25    cl39
1.31052400e-25    mg28
1.29707315e-25    br75
1.05161440e-25    y83
8.65379423e-26    kr77
7.13485300e-26    ga69
6.17623400e-26    ni64
5.74512722e-26    sr81
5.43274500e-26    sc49
5.10982888e-26    sr84
4.78057286e-26    y85
4.33595961e-26    nb87
3.90257900e-26    mo90
3.69611334e-26    zr84
3.40144500e-26    s37
2.31750166e-26    rb85
2.14846520e-26    br68
1.95843110e-26    al30
1.77227353e-26    zr87
1.61102420e-26    rb77
1.55204920e-26    zr88
1.43835260e-26    p35
1.29454600e-26    rb81
1.27469630e-26    rb75
1.26859595e-26    zr85
9.97877000e-27    mg20
9.22629825e-27    mo88
8.83728564e-27    sr79
8.30271820e-27    sr83
7.21890500e-27    as72
7.12358490e-27    nb89
6.51350612e-27    y80
5.30091780e-27    sr78
4.93016004e-27    kr80
4.74121969e-27    mo89
4.64020313e-27    kr86
3.89366430e-27    ne23
3.84422300e-27    kr71
3.14420718e-27    y81
3.10056200e-27    fe60
2.97624129e-27    br77
2.33145930e-27    rb76
1.63184979e-27    kr79
1.54921260e-27    ge71
1.50239306e-27    zr83
1.26769410e-27    li7
1.21701443e-27    y84
1.17448352e-27    nb88
9.30152270e-28    rb78
7.63752490e-28    zr82
7.60811880e-28    sr76
7.16490880e-28    y82
6.08510500e-28    b8
5.40171830e-28    rb80
5.00210100e-28    ni51
4.73146300e-28    rb74
4.54472530e-28    br76
4.01559620e-28    se76
3.90175670e-28    tc91
3.86959490e-28    nb86
3.16486600e-28    sr77
3.14357860e-28    se75
2.99224470e-28    rb83
2.97426200e-28    zn68
2.44676377e-28    kr70
2.29145290e-28    as73
2.17441390e-28    k44
2.05303620e-28    ca47
1.40206330e-28    ar42
1.34087000e-28    rb84
1.25786440e-28    kr82
1.13464750e-28    nb90
9.92983600e-29    kr81
9.79889300e-29    br79
9.06142800e-29    br81
8.24904300e-29    kr84
7.56301200e-29    y86
7.06269500e-29    as75
7.05065900e-29    se78
6.31134900e-29    ge72
6.08078800e-29    si33
5.33357000e-29    rb82
5.24173900e-29    y87
4.88376400e-29    mo87
4.59113300e-29    co62
4.40531900e-29    se77
3.93461200e-29    kr83
3.74081781e-29    se83
3.61966500e-29    br80
3.55693300e-29    zr89
3.52191790e-29    mo85
3.45455000e-29    se82
3.35279000e-29    as77
3.25473300e-29    kr85
3.17662780e-29    kr87
3.04373970e-29    ge77
2.92324500e-29    mo86
2.91827050e-29    zn71
