# L1 Error for e-3 with reference to e-8 for each species (sorted by error)
# L1_Error    Species
2.85160000e-04    co55
1.74360000e-04    fe54
1.54090000e-04    si28
6.79400000e-05    ca40
4.14100000e-05    fe52
3.66660000e-05    ni58
3.30500000e-05    s32
3.15100000e-05    ni57
1.88080000e-05    prot
1.44100000e-05    ar36
1.08332000e-05    mn51
6.00000000e-06    ni56
4.24700000e-06    cr48
3.79470000e-06    cr50
3.69900000e-06    fe53
3.41540000e-06    co56
2.83480000e-06    he4
9.20400000e-07    cr49
4.27360000e-07    cu59
3.24460000e-07    fe55
3.17820000e-07    s31
2.77570000e-07    mn52
2.31246000e-07    ar35
1.91300000e-07    ti44
1.72490000e-07    p29
1.66190000e-07    cl33
1.43163000e-07    v47
1.39560000e-07    k39
1.36722000e-07    mn53
1.03237000e-07    cl35
8.05650000e-08    mg24
7.45540000e-08    ca39
6.75000000e-08    co54
6.27150000e-08    ca41
4.95300000e-08    mn50
4.07210000e-08    zn60
3.60730000e-08    ti46
3.33450000e-08    ti45
3.30790000e-08    p31
3.16180000e-08    ni55
2.96830000e-08    cl34
2.90000000e-08    cu58
2.62660000e-08    cu57
2.45000000e-08    co53
2.22940000e-08    k37
1.69590000e-08    k38
1.67800000e-08    si29
1.20540000e-08    ni59
9.12600000e-09    ar37
8.62100000e-09    s33
6.59930000e-09    ar38
5.64100000e-09    fe51
5.60330000e-09    mn49
5.34000000e-09    p30
5.26680000e-09    cr51
5.16390000e-09    sc41
4.46100000e-09    s30
3.95610000e-09    v46
3.44370000e-09    ar34
3.20590000e-09    fe56
3.20500000e-09    s34
3.10380000e-09    zn61
2.36330000e-09    o16
1.87832000e-09    zn62
1.70601000e-09    v48
1.51400000e-09    co57
1.38655000e-09    cr47
1.06863000e-09    ni60
9.28180000e-10    sc42
8.96800000e-10    sc43
8.54600000e-10    cu60
7.00000000e-10    cr52
5.28210000e-10    cu61
4.99080000e-10    ca42
3.33580000e-10    ca38
2.06890000e-10    si27
1.97430000e-10    si30
1.92450000e-10    v45
1.80380000e-10    v49
1.14800000e-10    c12
9.87410000e-11    ti43
7.05760000e-11    al27
6.04088000e-11    co58
3.04590000e-11    ni54
2.05040000e-11    zn59
1.69488000e-11    mn54
1.44624000e-11    al26
1.26575900e-11    zn63
1.24060000e-11    fe50
1.19800000e-11    ti47
9.43210000e-12    cl36
7.99300000e-12    al25
5.55260000e-12    ti42
4.67800000e-12    ne20
4.63680000e-12    ga63
4.49760000e-12    k40
4.12270000e-12    si26
1.09770000e-12    cr46
1.07509700e-12    cu62
1.06540000e-12    sc44
1.05979000e-12    p32
9.80390000e-13    ga62
9.68600000e-13    k36
9.40120000e-13    mg25
7.50140000e-13    mg23
6.51660000e-13    zn58
5.37500000e-13    cl32
4.02640000e-13    mn48
3.53810000e-13    o15
1.91826000e-13    sc45
1.75190400e-13    co59
1.68684900e-13    ge66
1.66332000e-13    ni61
1.62616000e-13    ga64
1.17900000e-13    ge64
1.00530000e-13    n13
8.49890000e-14    mn55
7.91760000e-14    zn64
7.76700000e-14    ti48
5.13920000e-14    neut
3.62900000e-14    co52
3.28670000e-14    p28
3.24416000e-14    ge65
2.66370000e-14    v50
2.44330000e-14    ca43
2.36337000e-14    cl37
1.33924000e-14    ga61
1.29720000e-14    fe57
1.26969000e-14    cl31
1.01803000e-14    na22
7.58890000e-15    mg22
7.43623200e-15    cu63
7.36300000e-15    f17
5.38690000e-15    n14
4.92250000e-15    mg26
3.96880000e-15    cr53
3.92190000e-15    ga65
3.84790000e-15    k35
3.05419000e-15    ge63
3.04060000e-15    ar33
2.92620000e-15    o14
2.20918000e-15    na23
2.01840000e-15    s35
1.66850000e-15    na21
1.42540000e-15    ar39
1.11916000e-15    p33
1.00487500e-15    ca44
9.48000000e-16    k41
8.21200000e-16    cu56
6.49390000e-16    co51
4.68000000e-16    sc40
2.77653000e-16    al28
2.12936000e-16    ni62
1.94960000e-16    v51
1.87057800e-16    fe58
1.72100000e-16    f20
1.57970000e-16    ca37
1.37422100e-16    ge67
1.36550000e-16    ne21
1.28484820e-16    zn65
1.08390000e-16    v44
1.02778400e-16    ti49
9.54884500e-17    ga66
9.20960000e-17    h2
7.50900000e-17    si31
6.96430000e-17    c11
4.26530000e-17    n15
3.27080000e-17    al24
3.21210000e-17    he3
2.95290000e-17    s29
2.80091700e-17    cr54
2.21588000e-17    sc46
1.67040000e-17    ne19
1.56575000e-17    ge68
1.27526000e-17    as66
1.27070000e-17    ni53
8.30900000e-18    c13
6.73800000e-18    as67
6.27600000e-18    ne18
6.19800000e-18    fe49
3.04232000e-18    s36
2.89400000e-18    p27
2.54429000e-18    ar40
2.16360000e-18    mn47
1.67120000e-18    f18
1.39447460e-18    ga67
1.33720000e-18    o17
1.29760000e-18    ga60
1.08452800e-18    as68
9.89899600e-19    ti50
9.69502000e-19    se70
9.33327000e-19    se68
8.98201000e-19    as65
8.54570000e-19    ge62
6.32773000e-19    co60
3.99380000e-19    cu55
3.85080000e-19    v43
3.54000000e-19    ti41
3.08039000e-19    sc47
3.03185000e-19    as69
2.81046500e-19    zn66
2.76640000e-19    ar32
2.11213000e-19    mn56
1.28413850e-19    cu64
1.27973000e-19    ca36
9.28590000e-20    ne22
5.61740000e-20    f21
3.95900000e-20    cr45
3.24466000e-20    se67
2.76428900e-20    ca45
2.30982590e-20    se71
2.22106000e-20    na20
2.06880000e-20    zn57
1.99600000e-20    b9
1.89030000e-20    si25
1.58025400e-20    si32
1.51401610e-20    ge69
1.43400400e-20    v52
1.31688000e-20    f19
9.54530000e-21    se69
4.52472000e-21    na24
4.09492850e-21    se72
3.79800000e-21    al29
3.37340000e-21    k42
2.59288170e-21    as70
2.40240000e-21    al23
2.37088000e-21    cl38
1.44660000e-21    ni52
8.37535000e-22    be7
5.47233400e-22    li6
4.26660000e-22    o19
3.23339000e-22    mg27
2.36590000e-22    p34
2.08594000e-22    br71
1.67000000e-22    fe48
1.49884200e-22    ni63
1.44056790e-22    ge70
1.41668720e-22    as71
1.40130000e-22    s28
1.38400000e-22    ga59
7.60120000e-23    c14
7.23673300e-23    ga68
6.55760000e-23    fe59
4.80254500e-23    co61
4.45932400e-23    br73
4.42520000e-23    co50
4.31522370e-23    cu65
4.28199000e-23    mg21
4.12073800e-23    k43
3.27200100e-23    h3
2.90793600e-23    br72
2.27014200e-23    sc48
1.92798000e-23    o18
1.87787760e-23    ca46
1.77943140e-23    kr74
1.55810000e-23    na19
1.00024300e-23    mn57
8.96200000e-24    n12
6.14511030e-24    cr55
4.63628300e-24    kr73
4.44179530e-24    br70
3.90588800e-24    br69
3.44406000e-24    kr72
2.55876620e-24    ar41
1.85588260e-24    se73
1.83618000e-24    b10
1.75585840e-24    kr76
1.37990714e-24    sr82
1.10264143e-24    kr78
9.89348800e-25    zn67
8.85387000e-25    ne17
8.82000000e-25    cr44
7.88627379e-25    sr80
7.88503148e-25    zr86
5.50333470e-25    v53
5.20020000e-25    b11
4.95230800e-25    kr75
4.25330000e-25    si24
2.89928390e-25    se74
2.68169000e-25    be9
2.19828278e-25    ti51
1.89281678e-25    rb79
1.61645700e-25    br74
1.27278825e-25    br75
1.04599286e-25    y83
1.03692000e-25    na25
9.37580800e-26    ga69
8.60301353e-26    kr77
5.72203679e-26    sr81
5.06516138e-26    sr84
4.88459800e-26    cl39
4.73515905e-26    y85
4.30575935e-26    nb87
3.92759470e-26    mo90
3.68830767e-26    zr84
3.61288500e-26    mg28
3.42636000e-26    mn46
2.27438858e-26    rb85
2.09435470e-26    ni64
2.05991070e-26    sc49
1.76784289e-26    zr87
1.56979610e-26    zr88
1.46221901e-26    rb77
1.29375526e-26    rb81
1.26468000e-26    zr85
1.24938490e-26    s37
1.08155390e-26    rb75
9.19368902e-27    mo88
8.81367213e-27    sr79
8.45716800e-27    as72
8.28286875e-27    sr83
7.12134000e-27    br68
7.02710560e-27    nb89
6.50498597e-27    y80
5.57334200e-27    al30
4.97842500e-27    p35
4.93692724e-27    kr80
4.73987078e-27    mo89
4.69663610e-27    sr78
4.65022985e-27    kr86
3.14499099e-27    y81
2.98019543e-27    br77
2.89116770e-27    kr71
1.80697590e-27    ge71
1.66726500e-27    ne23
1.64067506e-27    kr79
1.56724200e-27    rb76
1.51140041e-27    zr83
1.22356777e-27    y84
1.18226118e-27    nb88
9.42821270e-28    rb78
8.51970000e-28    mg20
7.73728960e-28    zr82
7.35825900e-28    sr76
7.25226110e-28    y82
5.50700630e-28    rb80
5.11517200e-28    zn68
4.76398460e-28    br76
4.61634900e-28    rb74
4.12150580e-28    se76
3.98332460e-28    tc91
3.96701940e-28    nb86
3.95438300e-28    li7
3.36866860e-28    se75
3.21280100e-28    fe60
3.09395940e-28    rb83
2.90336557e-28    as73
2.41151060e-28    sr77
1.46755710e-28    rb84
1.37924580e-28    kr82
1.24915460e-28    nb90
1.16575800e-28    b8
1.12506160e-28    kr81
1.09546090e-28    br79
1.03936890e-28    br81
9.60145000e-29    kr84
8.84339900e-29    y86
8.25475600e-29    as75
8.15841800e-29    se78
7.81006300e-29    ge72
6.63740400e-29    ar42
6.62314300e-29    rb82
6.54102300e-29    y87
6.09991400e-29    mo87
5.53945600e-29    se77
5.43457000e-29    kr70
5.05782300e-29    kr83
4.87395000e-29    zr89
4.86160900e-29    br80
4.85823500e-29    se82
4.80752900e-29    ca47
4.60090000e-29    ni51
4.52362700e-29    kr85
4.49799000e-29    as77
3.96811400e-29    br82
3.66249300e-29    ge74
3.39705400e-29    se80
3.09743500e-29    br78
2.94578200e-29    br83
2.64057181e-29    se83
2.45881700e-29    as74
2.42120290e-29    mo85
2.17638100e-29    co62
2.05198880e-29    kr87
1.97722570e-29    ge77
1.94618450e-29    zn71
1.88494320e-29    zr81
1.86977300e-29    zr90
1.82090970e-29    cu68
1.80649300e-29    zr80
1.79313750e-29    co64
1.78763890e-29    zr79
1.78007800e-29    mn61
1.77499510e-29    ni67
1.76157733e-29    nb84
1.74231690e-29    sr75
1.73543760e-29    fe62
1.72984380e-29    si23
1.71755800e-29    fe63
1.70902600e-29    mo86
1.70837950e-29    co65
1.70774870e-29    mn60
1.70208240e-29    cr58
1.69526640e-29    ga74
1.68769230e-29    mn59
1.68664860e-29    nb83
1.64933550e-29    cr57
1.62796160e-29    v55
1.61906177e-29    sr74
1.59066840e-29    v54
1.57008990e-29    mo84
1.56510800e-29    tc89
1.54009470e-29    ti53
1.52526090e-29    fe61
1.50687330e-29    sc51
1.50472420e-29    mo83
1.50421670e-29    y79
1.49998240e-29    k47
1.49511880e-29    cu69
1.48301975e-29    k49
1.46066010e-29    sc50
1.45844780e-29    zr78
1.45596370e-29    mn58
1.44918770e-29    ti52
1.42164000e-29    ga72
1.39106932e-29    cl43
1.38479660e-29    ar43
1.38116500e-29    zn72
1.37727262e-29    ar46
1.37311780e-29    ni66
1.36057684e-29    k48
1.35889860e-29    ca49
1.35733594e-29    cl45
1.31366260e-29    ar45
1.31164400e-29    si33
1.29707090e-29    k46
1.28645500e-29    k44
1.26387732e-29    s40
1.25681819e-29    s42
1.25559638e-29    cl40
1.22769985e-29    cl42
1.22680623e-29    cl44
1.22019166e-29    p37
1.18874100e-29    as78
1.18588000e-29    ni65
1.16313580e-29    k45
1.15861115e-29    s41
1.14549300e-29    tc90
1.13818000e-29    ge76
1.13259790e-29    s39
1.12247241e-29    kr69
1.10365100e-29    ga71
1.08336188e-29    cl41
1.07088110e-29    ar44
1.06875820e-29    ca48
1.01964400e-29    y78
1.01484000e-29    zn69
9.94292900e-30    si34
9.84445370e-30    p38
9.38198860e-30    s38
9.33852500e-30    co63
9.28990760e-30    p36
9.25964000e-30    se81
8.98161740e-30    al31
8.26497450e-30    mg29
8.02193000e-30    ga75
7.70613400e-30    na27
7.69897760e-30    y77
