# L1 Error for e-2 with reference to e-8 for each species (sorted by error)
# L1_Error    Species
9.26000000e-13    f17
9.20110000e-13    sr82
8.62800000e-13    ne22
8.33100000e-13    k44
7.96430000e-13    as65
7.77450000e-13    se68
7.65040000e-13    sr83
7.50100000e-13    li6
7.16900000e-13    kr81
6.71420000e-13    rb82
6.60000000e-13    se73
6.39570000e-13    v44
6.35820000e-13    sr81
6.03900000e-13    f20
5.93400000e-13    na21
5.83830000e-13    p28
5.30599000e-13    sr84
4.48900000e-13    s37
4.10820000e-13    sc50
4.10444000e-13    rb83
3.95320000e-13    br71
3.91600000e-13    b9
3.73650000e-13    ar42
3.71000000e-13    kr74
3.25230000e-13    ge74
3.18900000e-13    na24
3.17920000e-13    ca48
3.16130000e-13    ni66
3.13380000e-13    zn70
2.89650000e-13    mn59
2.84930000e-13    y85
2.49430000e-13    rb78
2.31370000e-13    cu68
2.16332000e-13    y87
2.10610000e-13    sr80
1.97130000e-13    ne19
1.96021000e-13    y86
1.92910000e-13    f18
1.89296000e-13    se78
1.83380000e-13    ga60
1.71895000e-13    zr89
1.71000000e-13    br74
1.57233000e-13    zr88
1.54760000e-13    c14
1.44340000e-13    ge62
1.44167000e-13    as76
1.42300000e-13    p35
1.39638000e-13    ga72
1.13340000e-13    rb77
1.13190000e-13    c11
1.07884000e-13    kr82
1.04048000e-13    y84
1.01713000e-13    zr87
1.00660000e-13    br80
9.15200000e-14    y83
8.57582000e-14    zr90
7.50000000e-14    be7
7.30040000e-14    cr57
6.64498000e-14    nb90
6.21000000e-14    mg22
5.96610000e-14    k45
5.90900000e-14    na25
5.50850000e-14    kr73
5.43833000e-14    rb84
5.33700000e-14    f19
5.23920000e-14    sr79
5.13600000e-14    b10
4.98300000e-14    be9
4.73544000e-14    zr86
4.61370000e-14    mg28
4.22672000e-14    nb89
3.08410000e-14    al30
2.18850000e-14    se67
2.16610000e-14    si33
2.12270000e-14    co64
2.08320000e-14    v55
1.83000000e-14    ar33
1.82782000e-14    rb85
1.77450000e-14    li7
1.72936000e-14    y82
1.59030000e-14    br70
1.44708000e-14    zr85
1.43460000e-14    b11
1.41160000e-14    cl31
1.40810000e-14    co51
1.24786000e-14    kr83
1.22360000e-14    o18
1.20704000e-14    se79
1.18650000e-14    al24
1.15260000e-14    f21
1.08384000e-14    nb88
1.04218000e-14    br81
1.01540000e-14    k35
9.73500000e-15    ca37
8.72550000e-15    ge75
8.66080000e-15    as77
8.64550000e-15    fe62
8.18000000e-15    o14
7.89380000e-15    ti53
6.22240000e-15    fe49
5.89330000e-15    mn47
4.65460000e-15    y81
4.63590000e-15    cl40
4.53810000e-15    s38
4.52480000e-15    ni53
4.38320000e-15    ne23
4.28285000e-15    mo90
4.17940000e-15    ga73
3.91520000e-15    kr72
3.87426000e-15    nb87
3.74100000e-15    ne18
