# L1 Error for e-6 with reference to e-8 for each species (sorted by error)
# L1_Error    Species
2.10000000e-06    ni58
6.70000000e-07    ni57
6.30000000e-07    fe55
5.40000000e-07    cr50
4.90000000e-07    ni56
4.70000000e-07    mn53
4.00000000e-07    fe54
3.70000000e-07    he4
3.20000000e-07    ni59
2.30000000e-07    mn52
2.20000000e-07    co55
1.98000000e-07    mn51
1.90000000e-07    ni60
1.90000000e-07    fe56
1.60000000e-07    fe53
1.36000000e-07    cr51
1.20000000e-07    co57
9.80000000e-08    cr52
8.94000000e-08    s32
8.60000000e-08    si28
7.36000000e-08    ca40
7.30000000e-08    cr49
6.04000000e-08    ar36
6.00000000e-08    co56
5.30000000e-08    prot
5.00000000e-08    fe52
4.80000000e-08    cu61
4.40000000e-08    mn54
3.40000000e-08    ti46
2.70000000e-08    cu59
2.70000000e-08    cr48
2.67000000e-08    v49
2.60000000e-08    cu60
2.19000000e-08    v47
2.00000000e-08    co58
1.67000000e-08    v48
1.50000000e-08    zn62
1.42000000e-08    k39
8.10000000e-09    cl35
6.70000000e-09    ni61
6.58000000e-09    ar38
5.90000000e-09    cu62
5.86000000e-09    ti44
5.80000000e-09    ca41
5.80000000e-09    ti45
5.50000000e-09    s33
5.25000000e-09    ar37
4.70000000e-09    zn63
4.60000000e-09    zn64
4.50000000e-09    ti47
3.50000000e-09    mn55
3.48000000e-09    p31
3.45000000e-09    s34
3.00000000e-09    fe57
2.93000000e-09    ca42
2.90000000e-09    co54
1.90000000e-09    ti48
1.90000000e-09    v50
1.90000000e-09    zn61
1.87000000e-09    mn50
1.78000000e-09    si29
1.51000000e-09    sc43
1.45000000e-09    cu63
8.00000000e-10    cr53
7.13000000e-10    cl34
6.80000000e-10    zn60
6.50000000e-10    ni62
6.14000000e-10    k38
6.00000000e-10    co59
4.36000000e-10    p30
4.00000000e-10    cu58
3.90000000e-10    v51
3.69000000e-10    si30
3.67000000e-10    sc44
3.45000000e-10    ga65
3.20000000e-10    sc45
3.10000000e-10    zn65
2.20000000e-10    mg24
2.11000000e-10    v46
1.88000000e-10    k40
1.45000000e-10    cl36
1.08000000e-10    o16
1.04000000e-10    p29
1.02000000e-10    cl33
1.00000000e-10    ga64
9.36000000e-11    s31
9.00000000e-11    ga63
8.00000000e-11    ca43
7.97000000e-11    ar35
7.90000000e-11    sc42
6.00000000e-11    fe58
5.20000000e-11    fe51
5.20000000e-11    ga66
4.83000000e-11    ca39
4.40000000e-11    zn66
4.10000000e-11    c12
3.86000000e-11    al27
3.80000000e-11    ni55
3.49000000e-11    ga67
3.40000000e-11    cu64
3.34000000e-11    k37
3.26000000e-11    p32
3.20000000e-11    neut
2.96000000e-11    mn49
2.94000000e-11    ge66
2.68000000e-11    ge68
2.30000000e-11    cr54
2.20000000e-11    co53
2.13000000e-11    cl37
2.10000000e-11    cu57
1.92000000e-11    sc41
1.70000000e-11    co60
1.61000000e-11    ge67
1.04000000e-11    ar39
1.01000000e-11    k41
9.90000000e-12    ca44
8.00000000e-12    ti49
7.30000000e-12    cr47
7.00000000e-12    sc46
5.60000000e-12    ni63
5.28000000e-12    v45
5.00000000e-12    mn56
4.30000000e-12    s35
3.76000000e-12    ge69
3.65000000e-12    si27
3.30000000e-12    v52
2.90000000e-12    ti50
