# L1 Error for e-6 with reference to e-8 for each species (sorted by error)
# L1_Error    Species
3.00000000e-07    ni58
3.00000000e-07    ni56
1.20000000e-07    fe52
1.00000000e-07    fe54
1.00000000e-07    ni57
7.00000000e-08    fe53
5.00000000e-08    co56
5.00000000e-08    mn51
4.30000000e-08    ca40
4.00000000e-08    s32
4.00000000e-08    he4
3.80000000e-08    co57
3.50000000e-08    si28
3.00000000e-08    ar36
3.00000000e-08    fe55
3.00000000e-08    ni59
2.20000000e-08    cr48
2.00000000e-08    prot
1.90000000e-08    cr50
1.20000000e-08    cr49
9.00000000e-09    cu59
9.00000000e-09    fe56
6.00000000e-09    co54
6.00000000e-09    mn53
5.00000000e-09    cu60
4.80000000e-09    ni60
4.00000000e-09    mn52
3.10000000e-09    ti44
2.90000000e-09    v47
2.60000000e-09    cu61
1.90000000e-09    zn62
1.70000000e-09    k39
1.40000000e-09    mn50
1.00000000e-09    ti46
1.00000000e-09    co58
8.60000000e-10    cl35
6.60000000e-10    ti45
6.50000000e-10    ca41
6.00000000e-10    zn61
5.70000000e-10    s33
5.40000000e-10    ar37
4.00000000e-10    v48
4.00000000e-10    cr52
4.00000000e-10    ni55
3.60000000e-10    mn54
3.40000000e-10    p31
3.00000000e-10    zn60
2.50000000e-10    cl34
2.30000000e-10    k38
2.20000000e-10    zn63
2.00000000e-10    cu58
1.90000000e-10    ar38
1.80000000e-10    si29
1.60000000e-10    sc43
1.60000000e-10    fe51
1.50000000e-10    p30
1.50000000e-10    co53
1.40000000e-10    cl33
1.32000000e-10    p29
1.20000000e-10    cu62
1.15000000e-10    s31
1.07000000e-10    ar35
1.00000000e-10    cu57
9.99999999e-11    cr51
9.40000000e-11    s34
8.00000000e-11    v46
8.00000000e-11    v49
7.60000000e-11    mg24
7.40000000e-11    mn49
7.30000000e-11    ca39
7.00000000e-11    ca42
5.60000000e-11    fe57
5.60000000e-11    zn64
4.90000000e-11    ni61
4.80000000e-11    k37
3.90000000e-11    co59
3.50000000e-11    o16
3.00000000e-11    sc41
2.70000000e-11    sc42
2.60000000e-11    ga63
2.00000000e-11    mn55
1.90000000e-11    ti47
1.50000000e-11    c12
1.20000000e-11    cr47
1.11000000e-11    si30
1.10000000e-11    ga64
1.00000000e-11    ga65
8.60000000e-12    v45
8.00000000e-12    sc44
7.10000000e-12    cu63
4.60000000e-12    k40
4.20000000e-12    cr53
4.10000000e-12    al27
3.90000000e-12    si27
3.90000000e-12    cl36
3.00000000e-12    v50
2.70000000e-12    s30
2.70000000e-12    ar34
2.40000000e-12    ge66
2.30000000e-12    ga62
2.20000000e-12    ti43
1.50000000e-12    sc45
1.07000000e-12    ni62
1.00000000e-12    neut
1.00000000e-12    zn59
9.90000000e-13    p32
9.00000000e-13    v51
8.60000000e-13    zn65
7.20000000e-13    ca38
6.70000000e-13    ne20
5.90000000e-13    fe58
5.00000000e-13    ge64
5.00000000e-13    al26
5.00000000e-13    ca43
4.70000000e-13    ni54
4.10000000e-13    ga66
3.90000000e-13    ge67
3.50000000e-13    fe50
3.40000000e-13    al25
2.90000000e-13    ge65
1.80000000e-13    ge68
1.50000000e-13    cl37
1.33000000e-13    mg25
9.20000000e-14    co60
7.80000000e-14    ti42
7.50000000e-14    ga67
7.20000000e-14    cl32
7.00000000e-14    ar39
6.40000000e-14    cr46
6.10000000e-14    cr54
6.00000000e-14    k41
5.70000000e-14    k36
5.00000000e-14    co52
4.20000000e-14    s35
3.50000000e-14    mn48
3.40000000e-14    zn66
3.30000000e-14    cu64
3.00000000e-14    ti49
3.00000000e-14    zn58
2.80000000e-14    mn56
2.70000000e-14    mg23
2.43000000e-14    o15
2.14000000e-14    si26
1.80000000e-14    as69
1.40000000e-14    p33
1.37880000e-14    f20
1.14000000e-14    n13
1.00000000e-14    ca44
8.00000000e-15    sc40
8.00000000e-15    as67
8.00000000e-15    cu56
7.20000000e-15    mg26
6.90000000e-15    as68
6.00000000e-15    ge63
5.80000000e-15    f17
5.50000000e-15    na23
5.50000000e-15    ge69
4.00000000e-15    al28
3.40000000e-15    as66
3.00000000e-15    ga61
3.00000000e-15    sc46
2.80000000e-15    si31
2.60000000e-15    n14
2.50000000e-15    na21
2.40000000e-15    se70
2.30000000e-15    p28
2.20000000e-15    ti50
2.02000000e-15    na22
2.00000000e-15    h2
1.60000000e-15    v52
1.37000000e-15    ni63
1.35000000e-15    se71
1.26000000e-15    as70
8.30000000e-16    se72
5.30000000e-16    ga68
5.00000000e-16    sc47
4.60000000e-16    n15
4.20000000e-16    ge70
4.20000000e-16    as71
4.00000000e-16    o14
3.60000000e-16    cu65
3.50000000e-16    co61
3.20000000e-16    v44
3.20000000e-16    co51
3.00000000e-16    he3
2.80000000e-16    ar33
2.70000000e-16    s36
2.70000000e-16    ar40
2.70000000e-16    fe59
2.51000000e-16    mg22
2.50000000e-16    cl31
2.10000000e-16    ne21
2.00000000e-16    se69
1.70000000e-16    se68
1.58000000e-16    k35
1.25000000e-16    ca37
1.19000000e-16    o17
1.04000000e-16    ne19
9.50000000e-17    zn67
8.50000000e-17    c13
7.10000000e-17    ni53
6.00000000e-17    k42
6.00000000e-17    as65
5.30000000e-17    se73
5.00000000e-17    ga60
4.80000000e-17    br73
4.70000000e-17    c11
3.90000000e-17    fe49
3.70000000e-17    mn57
2.80000000e-17    f18
2.70000000e-17    al29
2.00000000e-17    br71
2.00000000e-17    ca45
1.72000000e-17    al24
1.65000000e-17    ga69
1.60000000e-17    cr55
1.40000000e-17    mn47
1.13000000e-17    ne18
1.10000000e-17    se67
9.60000000e-18    se74
9.40000000e-18    br72
7.90000000e-18    s29
7.70000000e-18    br74
6.30000000e-18    kr74
6.30000000e-18    kr76
6.00000000e-18    cl38
5.90000000e-18    as72
5.80000000e-18    ne22
5.70000000e-18    br75
5.00000000e-18    si32
5.00000000e-18    sc48
5.00000000e-18    ti41
4.80000000e-18    p27
4.20000000e-18    cu55
4.00000000e-18    ni64
3.70000000e-18    kr75
3.00000000e-18    b9
3.00000000e-18    ge71
2.60000000e-18    v53
2.20000000e-18    f19
1.50000000e-18    v43
1.40000000e-18    li6
1.33000000e-18    na24
1.20000000e-18    cr45
1.00000000e-18    ge62
9.20000000e-19    kr73
9.00000000e-19    zn57
8.20000000e-19    kr77
8.00000000e-19    p34
8.00000000e-19    ca46
8.00000000e-19    mg27
6.90000000e-19    ti51
6.00000000e-19    f21
5.80000000e-19    zn68
5.30000000e-19    as73
5.00000000e-19    be7
4.00000000e-19    h3
3.00000000e-19    fe60
3.00000000e-19    cu66
2.67000000e-19    kr78
2.50000000e-19    br70
2.20000000e-19    rb77
2.00000000e-19    k43
1.90000000e-19    kr72
1.84000000e-19    br76
1.40000000e-19    se75
1.30000000e-19    ga59
1.20000000e-19    sc49
1.00000000e-19    b10
9.50000000e-20    co62
9.30000000e-20    na20
8.50000000e-20    rb79
6.70000000e-20    si25
6.10000000e-20    ge72
5.80000000e-20    c14
4.70000000e-20    ar32
4.60000000e-20    rb76
4.00000000e-20    ca36
3.50000000e-20    sr80
3.40000000e-20    br77
3.00000000e-20    rb75
2.80000000e-20    ni52
2.55000000e-20    rb78
2.45000000e-20    sr79
2.25000000e-20    sr78
2.20000000e-20    o18
2.08000000e-20    ga70
2.00000000e-20    br69
1.36000000e-20    al23
1.00000000e-20    o19
9.00000000e-21    be9
8.20000000e-21    sr81
7.20000000e-21    na25
7.10000000e-21    kr79
6.50000000e-21    se76
6.40000000e-21    cr56
6.30000000e-21    fe48
6.10000000e-21    y80
4.50000000e-21    mn58
3.41000000e-21    sr82
3.00000000e-21    sr77
2.70000000e-21    b11
2.60000000e-21    co50
2.50000000e-21    rb80
2.10000000e-21    ca47
1.97000000e-21    as74
1.30000000e-21    rb74
1.25000000e-21    ni65
1.20000000e-21    li7
1.12000000e-21    s28
1.08000000e-21    cu67
1.01000000e-21    n12
1.00000000e-21    cl39
9.10000000e-22    rb81
8.30000000e-22    na19
7.90000000e-22    y81
7.20000000e-22    sr76
6.80000000e-22    mg28
6.40000000e-22    y83
6.10000000e-22    cr44
6.00000000e-22    s37
4.70000000e-22    kr71
4.30000000e-22    k44
4.10000000e-22    al30
3.88000000e-22    kr80
3.80000000e-22    zn69
3.30000000e-22    y82
3.00000000e-22    mg21
3.00000000e-22    p35
2.50000000e-22    ti52
2.10000000e-22    br68
1.97000000e-22    br78
1.86000000e-22    sr83
1.65000000e-22    ga71
1.40000000e-22    ar42
1.30000000e-22    y79
1.30000000e-22    v54
1.25000000e-22    ge73
1.08000000e-22    co63
8.30000000e-23    ne23
6.80000000e-23    zr83
6.30000000e-23    zr84
6.20000000e-23    zr82
5.30000000e-23    y84
4.50000000e-23    as75
4.33000000e-23    zr86
3.80000000e-23    y85
3.72000000e-23    zr85
3.06000000e-23    sr84
2.90000000e-23    mn46
2.85000000e-23    se77
1.68000000e-23    fe61
1.60000000e-23    rb73
1.60000000e-23    ca48
1.49000000e-23    rb82
1.28000000e-23    ne17
1.14000000e-23    sc50
1.09000000e-23    zr87
1.09000000e-23    si24
1.00000000e-23    si33
8.30000000e-24    br79
6.10000000e-24    nb87
4.20000000e-24    kr81
4.04000000e-24    zr88
4.00000000e-24    kr70
2.85000000e-24    nb86
2.76000000e-24    nb89
2.44000000e-24    y86
2.40000000e-24    sr75
2.20000000e-24    zr81
2.04000000e-24    nb88
2.00000000e-24    zr80
2.00000000e-24    b8
1.90000000e-24    k45
1.73000000e-24    mn59
1.64000000e-24    rb83
1.59000000e-24    mo90
9.20000000e-25    ni66
8.20000000e-25    mo89
7.90000000e-25    y78
6.40000000e-25    ge74
6.30000000e-25    nb90
6.20000000e-25    zn70
5.60000000e-25    y87
4.40000000e-25    mo88
3.98000000e-25    zr89
3.70000000e-25    nb85
2.62000000e-25    mo87
2.51000000e-25    se78
2.42000000e-25    nb83
2.37000000e-25    nb84
2.10000000e-25    cr57
1.92000000e-25    mg20
1.62000000e-25    cu68
1.50000000e-25    s38
1.50000000e-25    cl40
1.08000000e-25    ni51
9.20000000e-26    kr82
7.60000000e-26    ga72
6.70000000e-26    as76
6.50000000e-26    na26
6.50000000e-26    zr90
6.20000000e-26    tc91
5.90000000e-26    ne24
3.38000000e-26    br80
3.20000000e-26    v55
2.10000000e-26    al31
1.60000000e-26    ar43
1.40000000e-26    y77
1.20000000e-26    kr69
1.13000000e-26    rb84
1.09000000e-26    tc90
8.30000000e-27    ti53
6.40000000e-27    co64
4.50000000e-27    fe62
4.50000000e-27    fe47
3.70000000e-27    sr74
3.19000000e-27    tc89
2.70000000e-27    mo86
1.90000000e-27    nb82
1.64000000e-27    al22
9.00000000e-28    sc51
5.60000000e-28    k46
5.30000000e-28    rb85
4.60000000e-28    se79
4.10000000e-28    kr83
4.00000000e-28    mg29
3.90000000e-28    ca49
3.90000000e-28    ge75
3.80000000e-28    mo85
3.30000000e-28    as77
3.30000000e-28    zr79
3.20000000e-28    br81
3.00000000e-28    si34
2.00000000e-28    p36
1.52000000e-28    ga73
1.10000000e-28    cl41
1.05000000e-28    zn71
6.70000000e-29    cu69
5.40000000e-29    ni67
2.90000000e-29    mn60
2.10000000e-29    y76
1.70000000e-29    mo84
1.54000000e-29    cr58
8.10000000e-30    ar44
3.58000000e-30    kr84
2.00000000e-30    s39
1.80000000e-30    na27
1.71000000e-30    co65
1.25000000e-30    se80
1.10000000e-30    zr78
9.29964100e-31    se82
7.74326400e-31    kr86
6.77173400e-31    ge78
6.29489000e-31    as79
6.28737000e-31    ga75
5.44325000e-31    ge77
5.40000000e-31    ge76
4.90000000e-31    k47
4.67105500e-31    se83
4.50837900e-31    kr87
4.08560000e-31    se81
3.68265400e-31    k49
3.52433400e-31    k48
3.42247900e-31    ar46
3.28950700e-31    cl45
3.20369400e-31    cl43
3.15297900e-31    cl44
3.01538600e-31    s42
3.00000000e-31    br82
2.91486600e-31    s41
2.61275700e-31    p38
1.73000000e-31    si23
1.48210000e-31    ar45
7.70000000e-32    mo83
7.50000000e-32    fe63
7.37100000e-32    br83
7.30000000e-32    as78
6.00000000e-32    zn72
2.23000000e-32    ga74
1.40000000e-32    p37
7.00000000e-33    y75
4.61000000e-33    s40
2.90000000e-33    cl42
2.90000000e-33    kr85
2.50000000e-33    mn61
0.00000000e+00    ar41
0.00000000e+00    ti48
0.00000000e+00    co55
