# L1 Error for e-4 with reference to e-8 for each species (sorted by error)
# L1_Error    Species
2.22500000e-04    ni56
8.63000000e-05    ni58
7.50000000e-05    ni57
5.76000000e-05    fe54
3.81000000e-05    co55
2.25900000e-05    fe53
1.07260000e-05    si28
9.64000000e-06    mn51
8.12300000e-06    s32
7.11000000e-06    he4
6.33000000e-06    fe55
5.83300000e-06    ca40
4.75700000e-06    mn53
4.69300000e-06    ar36
4.04800000e-06    cr49
3.86600000e-06    cr48
3.59800000e-06    co54
3.54000000e-06    fe52
3.41100000e-06    cu59
2.92700000e-06    ni59
2.86000000e-06    prot
2.76100000e-06    mn52
2.14300000e-06    fe56
1.14500000e-06    co57
8.35600000e-07    cr51
7.42000000e-07    ti44
5.58000000e-07    cr50
5.44800000e-07    v47
4.82800000e-07    mn50
3.89900000e-07    cr52
3.88900000e-07    cu58
3.26500000e-07    zn60
3.05200000e-07    zn62
2.87300000e-07    ni55
2.85400000e-07    cu61
2.72200000e-07    k39
1.72790000e-07    ti45
1.40000000e-07    co56
1.31300000e-07    v48
1.26480000e-07    v49
1.21080000e-07    ca41
1.20200000e-07    co58
1.18000000e-07    cu60
1.17200000e-07    ti46
1.15540000e-07    ar37
1.12740000e-07    s33
1.07200000e-07    ni60
8.01400000e-08    fe51
7.44000000e-08    zn63
7.36300000e-08    cl35
5.34260000e-08    o16
4.80000000e-08    zn61
4.61200000e-08    k38
4.11132000e-08    c12
3.71600000e-08    cl34
3.14100000e-08    p29
3.11100000e-08    v46
2.95600000e-08    si29
2.89100000e-08    mn54
2.87720000e-08    p30
2.79310000e-08    ar35
2.77040000e-08    s31
2.24420000e-08    cl33
2.13380000e-08    ca39
1.87790000e-08    ti47
1.64840000e-08    zn64
1.34230000e-08    mg24
1.03000000e-08    cu57
9.98000000e-09    cu62
9.38100000e-09    mn49
8.58000000e-09    ni61
8.45000000e-09    p31
8.41700000e-09    fe57
7.75900000e-09    s34
7.23000000e-09    co53
6.47600000e-09    co59
6.41000000e-09    ar38
6.19400000e-09    k37
6.19300000e-09    ga63
6.06100000e-09    cr47
5.40500000e-09    ga64
4.63000000e-09    mn55
4.52900000e-09    ga65
