# L1 Error for e-2 with reference to e-8 for each species (sorted by error)
# L1_Error    Species
8.23002500e-02    fe54
5.04128700e-02    co55
2.15366160e-02    ni58
1.99279700e-02    ni57
7.00600000e-03    ni56
5.12055000e-03    si28
4.97902400e-03    fe53
2.43662000e-03    ar36
2.19019000e-03    s32
1.75258000e-03    fe52
1.07993310e-03    cr50
1.06791000e-03    ca40
1.06453110e-03    mn51
9.59565000e-04    prot
7.53049300e-04    co56
4.41473000e-04    cr48
2.13134730e-04    fe55
1.44509700e-04    cr49
1.27136397e-04    co57
7.40098920e-05    mn53
6.48599200e-05    cu59
5.50643300e-05    mn52
4.48038000e-05    ti44
3.04893000e-05    he4
2.42774330e-05    ni59
2.30707900e-05    k39
1.78498380e-05    p29
1.30130000e-05    co54
1.02922910e-05    cl33
9.93859080e-06    fe56
9.33523900e-06    s31
8.66678100e-06    cl35
7.91755100e-06    s33
5.85501000e-06    p31
5.35195700e-06    ni55
4.51564900e-06    ar35
3.65889200e-06    ti46
2.83363000e-06    si29
2.81204000e-06    mg24
2.42074670e-06    cr51
2.28760400e-06    ti45
2.14719200e-06    ca39
2.05268500e-06    ar37
2.04825100e-06    mn50
1.99843989e-06    ni60
1.88445900e-06    v47
1.85434070e-06    cu60
1.45622010e-06    co53
1.28766450e-06    cu57
1.21753490e-06    k37
1.20173980e-06    ar38
1.03480980e-06    fe51
9.59974000e-07    zn60
8.77052780e-07    zn62
8.17321000e-07    k38
6.48500140e-07    cr52
4.68853700e-07    s34
4.68356160e-07    s30
4.51539690e-07    cu61
4.22514150e-07    zn61
3.57271000e-07    cl34
3.52581600e-07    mn49
3.05253900e-07    sc41
2.80768450e-07    ar34
2.50063310e-07    ca42
2.48881600e-07    o16
1.81068000e-07    cu58
1.71171000e-07    p30
9.70010000e-08    ca41
8.69346000e-08    sc43
8.45858100e-08    v46
8.38765260e-08    v48
5.47944191e-08    mn54
5.17069490e-08    co58
5.01285000e-08    c12
3.98681100e-08    si27
2.53711370e-08    si30
2.30288040e-08    ca38
2.28827900e-08    v49
1.83035300e-08    cr47
1.24925500e-08    v45
1.05362400e-08    sc42
1.98495630e-09    ga63
1.78027470e-09    ni54
1.47555700e-09    al27
1.09222100e-09    al25
9.02355300e-10    ti47
8.50847700e-10    fe50
7.76040200e-10    sc44
5.98371450e-10    zn63
5.93534592e-10    cu62
5.35239700e-10    cl36
5.11841000e-10    zn59
3.50094690e-10    cl32
3.27715390e-10    si26
2.84381400e-10    ti42
2.60289400e-10    al26
2.57683586e-10    zn64
1.76104360e-10    ga62
1.72158070e-10    sc45
1.65142000e-10    ti43
1.57636700e-10    cr46
1.54639908e-10    ni61
1.22181635e-10    fe57
1.21197200e-10    k36
1.11903180e-10    k40
1.01522214e-10    co59
8.32190000e-11    ne20
7.63498170e-11    v50
7.60948310e-11    mn55
5.90853360e-11    o15
5.83120100e-11    mg25
4.80836300e-11    ti48
4.27766300e-11    p32
2.91590500e-11    ge64
2.41887800e-11    zn58
1.95748451e-11    cr53
1.51569000e-11    ga64
1.30646940e-11    neut
1.28608140e-11    ge66
1.16748010e-11    n13
1.12534270e-11    cl37
1.09603123e-11    ga65
1.06509000e-11    mg23
9.78504000e-12    ca43
6.64488300e-12    co52
6.09357600e-12    mn48
5.64286842e-12    cu63
3.71110005e-12    v51
2.81908500e-12    sc40
2.50137520e-12    p28
2.36848370e-12    k41
1.89862260e-12    ar39
1.38921400e-12    s35
1.29011736e-12    ni62
9.69727000e-13    f17
5.89423770e-13    na23
4.57428600e-13    o14
4.26956820e-13    cl31
4.16082500e-13    ge65
3.36680920e-13    ar33
3.19665630e-13    mg22
3.02639720e-13    p33
2.94952040e-13    n14
2.51986100e-13    cu56
1.95913900e-13    na21
1.69331580e-13    zn65
1.64620677e-13    ca44
1.60244370e-13    fe58
1.59880700e-13    mg26
1.33559353e-13    na22
1.30302760e-13    k35
1.07283923e-13    al28
1.06209400e-13    ga61
1.03031329e-13    ge67
9.07644127e-14    ti49
6.55286100e-14    ge63
5.71924700e-14    ca37
4.43062277e-14    ga66
3.12258600e-14    co51
2.95447590e-14    si31
2.33057267e-14    sc46
2.06047091e-14    cr54
2.04297731e-14    ge68
1.10764860e-14    ne21
9.63040300e-15    n15
5.35687300e-15    ne19
5.04678300e-15    v44
3.85790470e-15    c11
3.69176100e-15    he3
3.07925530e-15    c13
2.32596806e-15    s36
2.26180880e-15    s29
2.18099700e-15    ne18
2.08658620e-15    ni53
1.64582854e-15    ar40
1.52166323e-15    co60
1.44572996e-15    ga67
1.29574140e-15    o17
