# L1 Error for e-7 with reference to e-8 for each species (sorted by error)
# L1_Error    Species
9.99999999e-08    ni56
3.00000000e-08    fe54
3.00000000e-08    co55
1.00000000e-08    s32
1.00000000e-08    ca40
1.00000000e-08    ni57
9.99999999e-09    fe52
6.00000000e-09    ni58
3.00000000e-09    fe53
2.00000000e-09    prot
1.50000000e-09    mn51
1.00000000e-09    cr48
6.00000000e-10    cr50
3.00000000e-10    co56
1.00000000e-10    co54
1.00000000e-10    cr49
4.00000000e-11    fe55
3.00000000e-11    p29
3.00000000e-11    mn52
3.00000000e-11    cu59
2.20000000e-11    co57
2.00000000e-11    s31
2.00000000e-11    k39
1.70000000e-11    mn53
1.30000000e-11    ni55
1.20000000e-11    v47
1.00000000e-11    cl33
1.00000000e-11    cl35
5.00000000e-12    ni59
5.00000000e-12    s33
5.00000000e-12    ar35
4.00000000e-12    p31
4.00000000e-12    ti46
3.00000000e-12    ca41
3.00000000e-12    mn50
3.00000000e-12    fe51
3.00000000e-12    co53
2.00000000e-12    si29
2.00000000e-12    ar37
2.00000000e-12    k37
2.00000000e-12    ca39
2.00000000e-12    cu57
2.00000000e-12    zn60
2.00000000e-12    k38
1.20000000e-12    s30
1.00000000e-12    mg24
1.00000000e-12    p30
1.00000000e-12    cu58
1.00000000e-12    ti45
1.00000000e-12    cl34
9.00000000e-13    cr51
9.00000000e-13    fe56
7.00000000e-13    ar34
7.00000000e-13    ar38
7.00000000e-13    mn49
6.00000000e-13    sc41
5.00000000e-13    cu60
4.00000000e-13    s34
1.90000000e-13    v48
1.80000000e-13    zn62
1.10000000e-13    ni60
1.10000000e-13    ca42
1.00000000e-13    sc43
9.00000000e-14    zn61
9.00000000e-14    cr52
6.00000000e-14    si27
6.00000000e-14    cu61
6.00000000e-14    ca38
5.00000000e-14    cr47
4.00000000e-14    v49
3.00000000e-14    v45
1.70000000e-14    si30
6.00000000e-15    ti43
6.00000000e-15    ni54
3.50000000e-15    mn54
3.00000000e-15    al27
3.00000000e-15    zn59
3.00000000e-15    fe50
2.80000000e-15    co58
2.40000000e-15    ti47
2.00000000e-15    al25
1.00000000e-15    ne20
9.00000000e-16    ti42
9.00000000e-16    cl32
7.00000000e-16    cl36
6.00000000e-16    si26
6.00000000e-16    cr46
4.00000000e-16    k40
4.00000000e-16    sc44
2.70000000e-16    zn63
2.00000000e-16    k36
1.10000000e-16    p32
1.00000000e-16    al26
1.00000000e-16    ga63
9.00000000e-17    zn58
8.00000000e-17    o15
8.00000000e-17    ti48
6.00000000e-17    mg23
3.00000000e-17    co52
3.00000000e-17    mn48
2.80000000e-17    sc45
2.00000000e-17    mg25
1.80000000e-17    zn64
1.80000000e-17    v50
1.70000000e-17    cu62
1.30000000e-17    fe57
1.00000000e-17    ge64
1.00000000e-17    n13
1.00000000e-17    ga62
8.83000000e-18    f20
7.00000000e-18    sc40
7.00000000e-18    mn55
6.00000000e-18    p28
5.00000000e-18    ca43
4.90000000e-18    co59
4.00000000e-18    ga64
4.00000000e-18    neut
3.10000000e-18    ni61
3.00000000e-18    f17
2.50000000e-18    cl37
1.50000000e-18    cl31
1.50000000e-18    cr53
1.50000000e-18    o14
1.30000000e-18    ar33
1.30000000e-18    ga65
1.20000000e-18    ge66
9.00000000e-19    cu56
7.00000000e-19    na21
7.00000000e-19    mg22
5.00000000e-19    ar39
5.00000000e-19    k35
4.00000000e-19    s35
3.00000000e-19    k41
2.70000000e-19    v51
2.00000000e-19    n14
2.00000000e-19    ga61
2.00000000e-19    mg26
2.00000000e-19    ca37
1.50000000e-19    co51
1.00000000e-19    na22
1.00000000e-19    ge65
9.00000000e-20    cu63
8.00000000e-20    p33
7.00000000e-20    ge63
6.00000000e-20    na23
3.50000000e-20    ca44
3.00000000e-20    v44
2.30000000e-20    al28
1.00000000e-20    ni53
9.00000000e-21    ne18
8.00000000e-21    s29
6.00000000e-21    c11
6.00000000e-21    si31
5.00000000e-21    al24
5.00000000e-21    fe49
4.00000000e-21    he3
4.00000000e-21    ne19
4.00000000e-21    p27
3.50000000e-21    sc46
3.40000000e-21    ti49
3.40000000e-21    ni62
3.20000000e-21    fe58
3.00000000e-21    n15
2.70000000e-21    ge67
2.00000000e-21    ne21
1.60000000e-21    mn47
1.19300000e-21    f21
1.10000000e-21    zn65
1.00000000e-21    h2
8.00000000e-22    ti41
6.00000000e-22    ga66
5.00000000e-22    ge68
3.40000000e-22    cr54
3.00000000e-22    ga60
3.00000000e-22    as67
2.00000000e-22    c13
1.30000000e-22    s36
1.10000000e-22    v43
1.10000000e-22    cu55
1.00000000e-22    as66
1.00000000e-22    o17
1.00000000e-22    f18
9.00000000e-23    ar40
4.00000000e-23    ar32
3.00000000e-23    ge62
2.40000000e-23    ca36
2.20000000e-23    cr45
1.70900000e-23    o19
1.70000000e-23    co60
1.30000000e-23    ga67
1.30000000e-23    ti50
1.10000000e-23    as69
9.00000000e-24    sc47
9.00000000e-24    mn56
8.00000000e-24    si25
8.00000000e-24    as68
6.00000000e-24    zn57
6.00000000e-24    al29
5.00000000e-24    b9
4.00000000e-24    se70
3.60000000e-24    zn66
3.00000000e-24    se68
2.00000000e-24    ne22
2.00000000e-24    k42
1.30000000e-24    ni52
1.20000000e-24    cu64
9.00000000e-25    na20
8.00000000e-25    f19
6.12507000e-25    kr76
6.00000000e-25    al23
5.62799300e-25    sr82
4.97815800e-25    kr78
4.50000000e-25    v52
4.00000000e-25    ga59
3.55272500e-25    sr80
3.19865200e-25    zr86
3.00000000e-25    se67
3.00000000e-25    se69
2.80000000e-25    ca45
2.70000000e-25    si32
2.00000000e-25    s28
1.80000000e-25    fe48
1.40000000e-25    na24
1.29000000e-25    se72
9.83930000e-26    se74
8.55848000e-26    rb79
8.00000000e-26    cl38
7.00000000e-26    ge69
5.00000000e-26    se71
4.33289900e-26    br75
4.26983000e-26    y83
2.80000000e-26    mg27
2.68499400e-26    kr77
1.99782600e-26    sr84
1.89662400e-26    y85
1.74467600e-26    nb87
1.67107900e-26    sr81
1.47218000e-26    zr84
1.20000000e-26    cr44
8.00000000e-27    as70
8.00000000e-27    co50
6.00000000e-27    be7
5.05378200e-27    rb77
5.00000000e-27    p34
4.99958600e-27    rb81
4.75300000e-27    se73
4.10000000e-27    ni63
4.00000000e-27    n12
4.00000000e-27    ge70
3.90000000e-27    as71
3.61583200e-27    mo88
3.41549600e-27    zr85
3.00000000e-27    na19
3.00000000e-27    c14
2.43718000e-27    mo90
2.20960000e-27    kr75
2.00747900e-27    sr79
2.00000000e-27    br71
1.91159200e-27    sr83
1.75185600e-27    kr80
1.46129800e-27    sr78
1.41312100e-27    y81
1.30000000e-27    mg21
1.24000000e-27    br73
1.19687300e-27    y80
1.13215600e-27    br77
1.10000000e-27    fe59
1.10000000e-27    co61
1.00000000e-27    li6
9.55810000e-28    zr88
6.90950000e-28    rb85
6.63280000e-28    kr86
5.40000000e-28    kr74
5.32830000e-28    zr87
4.39070000e-28    br74
4.34575000e-28    nb89
4.20000000e-28    cu65
3.90000000e-28    k43
3.20000000e-28    ga68
3.00000000e-28    o18
2.97856900e-28    y84
2.97484900e-28    rb78
2.95106000e-28    kr79
2.60000000e-28    sc48
2.19491800e-28    zr82
2.13984000e-28    y82
2.10000000e-28    si24
1.53449000e-28    mo89
1.50000000e-28    ca46
1.31344900e-28    rb80
1.10738100e-28    nb86
1.06130500e-28    br76
9.67863000e-29    sr76
9.00000000e-29    kr72
9.00000000e-29    mn57
8.63540000e-29    zr83
7.41071000e-29    se76
4.10000000e-29    cr55
3.10700000e-29    nb88
3.00000000e-29    br72
2.60043000e-29    tc91
2.51752000e-29    as73
2.00000000e-29    h3
2.00000000e-29    b11
2.00000000e-29    ne17
1.80000000e-29    ar41
1.64966000e-29    sr77
1.60000000e-29    kr73
1.31672000e-29    as75
1.30000000e-29    na25
1.10078000e-29    br81
1.04239100e-29    se82
1.02986000e-29    br79
1.02228000e-29    se78
1.00000000e-29    br69
9.73948000e-30    kr85
9.69739000e-30    ge72
9.39431000e-30    as77
9.36081000e-30    se77
8.89200000e-30    ge71
8.76770000e-30    kr84
8.35427000e-30    ge74
8.21536000e-30    br82
8.16840000e-30    rb83
8.00000000e-30    zn67
7.79664000e-30    br80
7.72522000e-30    se80
7.64000000e-30    ga69
7.25691000e-30    kr83
6.49090000e-30    kr81
6.33998000e-30    mo87
6.26120000e-30    br83
6.13862000e-30    as74
6.00000000e-30    be9
5.91140000e-30    y86
5.87338000e-30    br78
5.81630000e-30    rb76
5.65261000e-30    ge76
5.24947000e-30    ga71
5.21128000e-30    zr80
5.17950000e-30    rb84
4.85007500e-30    nb85
4.82900000e-30    zn68
4.65090000e-30    se79
4.64305000e-30    ge73
4.57154000e-30    as76
4.55561000e-30    as79
4.20000000e-30    mn46
4.04540000e-30    ga70
3.66850000e-30    ge78
3.60708000e-30    ga73
3.42180000e-30    kr82
3.21073000e-30    rb82
3.14680000e-30    se75
3.10000000e-30    v53
2.91413000e-30    zn70
