# L1 Error for e-7 with reference to e-8 for each species (sorted by error)
# L1_Error    Species
2.00000000e-07    ni58
1.00000000e-07    fe54
1.00000000e-07    ni57
6.00000000e-08    fe52
3.00000000e-08    he4
3.00000000e-08    prot
2.00000000e-08    fe53
2.00000000e-08    co56
1.80000000e-08    ca40
1.80000000e-08    co57
1.60000000e-08    s32
1.40000000e-08    ni59
1.30000000e-08    si28
1.20000000e-08    ar36
1.00000000e-08    mn51
1.00000000e-08    fe55
9.00000000e-09    cr48
5.00000000e-09    cr50
5.00000000e-09    cr49
5.00000000e-09    mn53
4.00000000e-09    co54
4.00000000e-09    fe56
2.30000000e-09    ni60
2.00000000e-09    cu60
2.00000000e-09    cu59
1.30000000e-09    ti44
1.10000000e-09    v47
1.10000000e-09    cu61
9.99999999e-10    mn52
7.00000000e-10    zn62
6.00000000e-10    mn50
6.00000000e-10    k39
5.00000000e-10    co58
4.00000000e-10    cr52
4.00000000e-10    cu58
3.10000000e-10    cl35
3.00000000e-10    cr51
3.00000000e-10    ti46
3.00000000e-10    ni55
2.60000000e-10    ti45
2.50000000e-10    ca41
2.40000000e-10    mn54
2.10000000e-10    ar37
2.00000000e-10    s33
2.00000000e-10    v48
2.00000000e-10    zn61
1.20000000e-10    p31
1.00000000e-10    k38
9.00000000e-11    cl34
9.00000000e-11    fe51
9.00000000e-11    co53
9.00000000e-11    zn63
8.00000000e-11    cu57
6.00000000e-11    ar38
6.00000000e-11    si29
6.00000000e-11    sc43
5.80000000e-11    cl33
5.60000000e-11    p30
5.30000000e-11    p29
5.00000000e-11    cu62
4.60000000e-11    s31
4.50000000e-11    ar35
4.00000000e-11    v46
3.90000000e-11    mn49
3.30000000e-11    ca39
3.10000000e-11    fe57
3.00000000e-11    ca42
2.80000000e-11    s34
2.60000000e-11    ni61
2.60000000e-11    mg24
2.60000000e-11    zn64
2.10000000e-11    k37
2.00000000e-11    co59
1.40000000e-11    sc41
1.20000000e-11    o16
1.20000000e-11    sc42
1.10000000e-11    mn55
1.00000000e-11    v49
8.00000000e-12    ga63
6.00000000e-12    cr47
4.60000000e-12    c12
4.20000000e-12    v45
4.00000000e-12    ga65
4.00000000e-12    v50
4.00000000e-12    ga64
3.60000000e-12    cu63
3.20000000e-12    si30
3.00000000e-12    sc44
3.00000000e-12    cr53
3.00000000e-12    zn59
2.00000000e-12    ti48
1.40000000e-12    si27
1.40000000e-12    k40
1.30000000e-12    al27
1.20000000e-12    ar34
1.20000000e-12    s30
1.20000000e-12    cl36
1.00000000e-12    ti47
1.00000000e-12    ge66
1.00000000e-12    ti43
7.00000000e-13    v51
5.90000000e-13    ni62
4.40000000e-13    zn65
3.50000000e-13    fe58
3.40000000e-13    ca38
2.90000000e-13    ni54
2.70000000e-13    p32
2.10000000e-13    ne20
2.00000000e-13    fe50
2.00000000e-13    ga66
2.00000000e-13    ga62
2.00000000e-13    neut
1.70000000e-13    al26
1.70000000e-13    ge67
1.30000000e-13    al25
1.00000000e-13    sc45
1.00000000e-13    ge64
9.00000000e-14    ge65
8.00000000e-14    ge68
5.40000000e-14    co60
4.30000000e-14    cr54
3.90000000e-14    ti42
3.80000000e-14    mg25
3.70000000e-14    ga67
3.50000000e-14    ti49
3.30000000e-14    cr46
3.20000000e-14    co52
3.00000000e-14    cl37
3.00000000e-14    cl32
3.00000000e-14    zn58
2.60000000e-14    k36
2.10000000e-14    mn48
2.00000000e-14    ar39
1.90000000e-14    cu64
1.80000000e-14    mn56
1.70000000e-14    zn66
1.49770000e-14    f20
1.00000000e-14    mg23
1.00000000e-14    k41
1.00000000e-14    sc46
9.00000000e-15    as69
8.60000000e-15    si26
8.20000000e-15    o15
8.00000000e-15    ga61
7.00000000e-15    s35
6.00000000e-15    ca44
5.00000000e-15    cu56
4.00000000e-15    ge63
3.80000000e-15    sc40
3.60000000e-15    n13
3.10000000e-15    ge69
3.00000000e-15    as67
3.00000000e-15    as68
2.10000000e-15    ti50
2.00000000e-15    p33
1.90000000e-15    f17
1.60000000e-15    mg26
1.50000000e-15    he3
1.40000000e-15    na23
1.30000000e-15    v52
1.00000000e-15    h2
1.00000000e-15    p28
1.00000000e-15    se70
8.70000000e-16    ni63
8.00000000e-16    na21
8.00000000e-16    al28
8.00000000e-16    sc47
7.10000000e-16    as70
7.10000000e-16    se71
7.00000000e-16    n14
6.00000000e-16    na22
6.00000000e-16    as66
4.60000000e-16    se72
3.10000000e-16    ga68
3.00000000e-16    si31
2.40000000e-16    ge70
2.40000000e-16    as71
2.30000000e-16    co61
2.30000000e-16    cu65
1.90000000e-16    co51
1.80000000e-16    fe59
1.70000000e-16    v44
1.40000000e-16    o14
1.20000000e-16    ar33
1.10000000e-16    cl31
1.00000000e-16    n15
9.30000000e-17    mg22
9.00000000e-17    ar40
8.00000000e-17    se69
7.30000000e-17    k35
7.00000000e-17    ga60
