# L1 Error for e-2 with reference to e-8 for each species (sorted by error)
# L1_Error    Species
1.30590000e-03    ni56
5.46800000e-04    co55
4.99000000e-04    ni57
3.66900000e-04    ni58
1.47900000e-04    fe54
9.99700000e-05    fe52
4.83900000e-05    fe53
4.56400000e-05    co56
2.63400000e-05    he4
2.27470000e-05    cr50
2.16990000e-05    cu59
2.04810000e-05    si28
1.95340000e-05    s32
1.24910000e-05    ar36
1.20520000e-05    ca40
1.20030000e-05    ni59
1.10220000e-05    mn53
1.06900000e-05    fe55
1.04000000e-05    prot
9.21900000e-06    mn52
7.14500000e-06    co54
5.86400000e-06    cr49
5.72000000e-06    co57
4.06900000e-06    cu60
3.72000000e-06    mn51
2.78840000e-06    cu58
2.39120000e-06    cr51
2.10820000e-06    v47
1.73560000e-06    zn62
1.70980000e-06    zn60
1.58000000e-06    fe56
1.47890000e-06    ni60
1.44040000e-06    cu61
1.32460000e-06    ti46
1.31520000e-06    k39
1.11270000e-06    ti44
1.05990000e-06    zn61
7.75910000e-07    cl35
7.35200000e-07    v48
6.39600000e-07    cr52
6.37000000e-07    cr48
6.24400000e-07    ni55
6.12020000e-07    ti45
5.82130000e-07    ca41
5.32330000e-07    s33
5.24300000e-07    ar37
4.44190000e-07    v49
3.44980000e-07    p31
2.88900000e-07    cu57
2.45250000e-07    mn54
2.22310000e-07    ar38
2.02030000e-07    cl34
1.81910000e-07    si29
1.70540000e-07    k38
1.58440000e-07    sc43
1.58300000e-07    mn50
1.31060000e-07    zn63
1.22865000e-07    p30
1.17535000e-07    s34
1.10640000e-07    co53
1.05460000e-07    ca42
7.72380000e-08    p29
7.11140000e-08    s31
6.99630000e-08    cl33
6.19600000e-08    v46
6.14990000e-08    ti47
6.05900000e-08    mg24
6.02410000e-08    ar35
5.52200000e-08    cu62
4.62900000e-08    fe51
4.03690000e-08    o16
3.69520000e-08    ga63
3.57000000e-08    co58
3.27350000e-08    ca39
3.23540000e-08    zn64
2.39390000e-08    ni61
2.37190000e-08    sc42
2.19960000e-08    k37
2.02249000e-08    c12
1.50760000e-08    sc44
1.30333000e-08    si30
1.15290000e-08    sc41
1.05350000e-08    v50
9.55400000e-09    ga64
9.22500000e-09    co59
8.66400000e-09    ti48
8.43400000e-09    zn59
7.88600000e-09    ga65
7.60500000e-09    k40
5.76150000e-09    cl36
5.38250000e-09    ga62
5.30400000e-09    mn55
4.71600000e-09    cr47
4.55250000e-09    al27
4.46090000e-09    cu63
4.28070000e-09    sc45
3.24340000e-09    v45
3.15450000e-09    si27
2.32900000e-09    mn49
2.28700000e-09    ge66
1.55620000e-09    cr53
1.46314000e-09    p32
1.35040000e-09    ti43
1.33570000e-09    s30
1.24130000e-09    neut
