# L1 Error for e-5 with reference to e-8 for each species (sorted by error)
# L1_Error    Species
1.60000000e-06    ni56
8.50000000e-07    co55
3.20000000e-07    fe54
2.10000000e-07    s32
2.00000000e-07    si28
6.00000000e-08    ar36
5.00000000e-08    mn51
4.00000000e-08    ca40
4.00000000e-08    fe52
2.60000000e-08    prot
1.90000000e-08    ni58
1.58000000e-08    he4
1.15000000e-08    cr50
1.00000000e-08    ni57
8.10000000e-09    ti44
3.00000000e-09    cr48
1.60000000e-09    co56
1.32000000e-09    k39
9.80000000e-10    s31
6.82000000e-10    cl35
6.00000000e-10    co54
5.60000000e-10    p29
4.82000000e-10    ar35
4.60000000e-10    cu59
3.68000000e-10    v47
3.20000000e-10    ca39
3.10000000e-10    cl33
2.85000000e-10    p31
2.66000000e-10    ar37
2.58000000e-10    k38
2.53000000e-10    s33
2.06000000e-10    cl34
2.00000000e-10    fe55
1.96000000e-10    p30
1.70000000e-10    mn52
1.64000000e-10    co57
1.00000000e-10    cr49
9.00000000e-11    mn53
8.90000000e-11    ca41
8.30000000e-11    si29
6.90000000e-11    cu58
6.70000000e-11    ti45
6.30000000e-11    ti46
6.10000000e-11    ni59
5.50000000e-11    zn60
4.30000000e-11    ni55
3.50000000e-11    k37
3.30000000e-11    mg24
3.30000000e-11    co53
2.90000000e-11    cu57
2.46000000e-11    ar38
1.94000000e-11    s30
1.72000000e-11    si27
1.25000000e-11    s34
1.16000000e-11    ar34
1.10000000e-11    mn50
1.04200000e-11    zn62
1.01000000e-11    cu60
9.20000000e-12    sc43
8.90000000e-12    sc41
8.80000000e-12    mn49
8.70000000e-12    o16
7.89000000e-12    zn61
7.30000000e-12    v46
4.00000000e-12    fe56
4.00000000e-12    ca42
3.60000000e-12    cr51
3.00000000e-12    fe51
2.60000000e-12    c12
1.90000000e-12    cr47
1.34000000e-12    ni60
1.14000000e-12    cu61
1.12000000e-12    sc42
1.08000000e-12    v48
9.10000000e-13    ca38
8.60000000e-13    v45
6.05000000e-13    si30
3.40000000e-13    cr52
3.30000000e-13    v49
2.65000000e-13    al27
1.70000000e-13    ne20
1.32000000e-13    ti43
7.59000000e-14    al26
6.00000000e-14    ni54
5.50000000e-14    zn59
3.12000000e-14    cl32
3.10000000e-14    fe50
2.27000000e-14    ga63
2.19000000e-14    co58
1.55800000e-14    zn63
1.53100000e-14    mg23
1.18000000e-14    ti42
1.10000000e-14    al25
1.06000000e-14    mn54
8.50000000e-15    ti47
7.30000000e-15    cr46
7.10000000e-15    k36
5.50000000e-15    si26
3.40000000e-15    cl36
3.20000000e-15    k40
3.13000000e-15    mg25
2.90000000e-15    sc44
2.84000000e-15    ga62
1.70000000e-15    ge64
1.10000000e-15    mn48
9.20000000e-16    zn58
7.56000000e-16    p28
7.18000000e-16    zn64
5.10000000e-16    ti48
4.26000000e-16    sc45
3.61000000e-16    ga64
3.40000000e-16    o15
3.40000000e-16    n13
3.01000000e-16    sc40
2.40000000e-16    co52
2.36000000e-16    cu62
1.58200000e-16    ge66
1.05000000e-16    fe57
1.00200000e-16    cl37
9.90000000e-17    ca43
8.95400000e-17    f20
7.81000000e-17    ga65
7.00000000e-17    mn55
6.84000000e-17    na21
5.60000000e-17    f17
4.31000000e-17    na22
4.00000000e-17    p32
3.95000000e-17    ni61
3.36000000e-17    ar33
3.20000000e-17    ge65
2.32000000e-17    co59
2.26000000e-17    cl31
2.03000000e-17    o14
1.60000000e-17    v50
1.46000000e-17    ar39
1.30000000e-17    neut
1.17900000e-17    na23
1.09000000e-17    s35
1.02000000e-17    n14
9.10000000e-18    cr53
9.10000000e-18    cu56
8.20000000e-18    k41
7.80000000e-18    mg22
7.60000000e-18    mg26
7.00000000e-18    k35
3.00000000e-18    ga61
2.69000000e-18    ge63
2.38000000e-18    ca37
2.37000000e-18    cu63
2.04000000e-18    v51
1.79000000e-18    p33
1.66000000e-18    co51
6.89000000e-19    s29
6.18000000e-19    al24
5.12000000e-19    c11
4.46000000e-19    ne21
4.11000000e-19    ca44
2.40000000e-19    al28
2.10200000e-19    ge67
2.08000000e-19    n15
1.70000000e-19    si31
1.23000000e-19    fe49
1.10000000e-19    ne18
9.00000000e-20    v44
8.20000000e-20    ni53
8.00000000e-20    ne19
6.42000000e-20    as67
5.07000000e-20    ni62
4.50000000e-20    p27
4.26000000e-20    ge68
4.10000000e-20    he3
3.46440000e-20    f21
3.38000000e-20    as66
2.62000000e-20    sc46
2.38000000e-20    c13
1.97000000e-20    o17
1.90000000e-20    ti41
1.56000000e-20    f18
1.31000000e-20    fe58
1.20000000e-20    zn65
1.11000000e-20    ga66
7.40000000e-21    mn47
6.05000000e-21    cr54
4.30000000e-21    ti49
3.90000000e-21    ga60
3.21100000e-21    se68
2.00000000e-21    h2
1.93000000e-21    ar40
1.27600000e-21    as69
1.27300000e-21    se70
1.22000000e-21    cu55
1.20000000e-21    v43
1.19000000e-21    s36
1.06100000e-21    as65
9.37000000e-22    as68
8.63000000e-22    si25
6.24000000e-22    co60
5.80000000e-22    ar32
5.74000000e-22    ga67
2.98000000e-22    ca36
2.73000000e-22    ti50
2.60000000e-22    ge62
1.94550000e-22    o19
1.92000000e-22    mn56
1.70000000e-22    ne22
1.07600000e-22    zn66
8.16000000e-23    k42
6.70000000e-23    se69
6.40000000e-23    sc47
6.20000000e-23    b9
5.80000000e-23    zn57
5.30000000e-23    al29
4.02000000e-23    f19
3.44000000e-23    se67
2.98000000e-23    cu64
1.28000000e-23    ni52
1.13600000e-23    se71
1.10000000e-23    cr45
7.60000000e-24    na20
7.40000000e-24    al23
3.57000000e-24    v52
3.43000000e-24    ca45
3.30000000e-24    ga59
2.69000000e-24    cl38
2.25700000e-24    se72
2.02000000e-24    s28
1.94000000e-24    ge69
1.50000000e-24    na24
1.35897130e-24    kr76
1.31727219e-24    sr82
1.05588952e-24    kr78
7.70000000e-25    mg27
7.55418540e-25    sr80
7.48720440e-25    zr86
7.36000000e-25    br71
5.20000000e-25    fe48
4.70000000e-25    si32
4.16000000e-25    as70
2.20590150e-25    se74
1.88000000e-25    co50
1.81586903e-25    rb79
1.79000000e-25    n12
1.76000000e-25    p34
1.13200000e-25    ni63
1.13000000e-25    cr44
1.00042086e-25    y83
9.69049600e-26    br75
8.20430600e-26    kr77
8.00000000e-26    be7
5.49097990e-26    sr81
4.82755370e-26    sr84
4.77000000e-26    as71
4.51425460e-26    y85
4.25000000e-26    ge70
4.08982700e-26    nb87
4.00000000e-26    na19
3.51860070e-26    zr84
3.01875200e-26    mo90
2.49000000e-26    o18
