                           time                    temp                     den                    ener                    sdot                   sneut                   s-snu                      ye                   1-sum
     27  1.0243808771185149E-04  9.8688103062694415E+07  7.8888151613453282E+06  1.382835E+17 -3.841408E-07  0.000000E+00 -3.841408E-07  5.000000E-01  0.000000E+00  7.125919E-09 -1.855028E-02
     28  1.0312095543387850E-04  9.8688102125388831E+07  7.8888150226906547E+06  1.382835E+17 -3.841064E-07  0.000000E+00 -3.841064E-07  5.000000E-01  0.000000E+00  7.125776E-09 -1.855157E-02
     29  1.0448669087793252E-04  9.8688100250777647E+07  7.8888147453813078E+06  1.382835E+17 -3.840376E-07  0.000000E+00 -3.840376E-07  5.000000E-01  0.000000E+00  7.125491E-09 -1.855415E-02
     30  1.0721816176604055E-04  9.8688096501555279E+07  7.8888141907626148E+06  1.382835E+17 -3.839000E-07  0.000000E+00 -3.839000E-07  5.000000E-01  0.000000E+00  7.124920E-09 -1.855931E-02
     31  1.1268110354225661E-04  9.8688089003110543E+07  7.8888130815252271E+06  1.382835E+17 -3.838582E-07  0.000000E+00 -3.838582E-07  5.000000E-01  0.000000E+00  7.125954E-09 -1.856403E-02
     32  1.2360698709468874E-04  9.8688074006221056E+07  7.8888108630504524E+06  1.382835E+17 -3.878498E-07  0.000000E+00 -3.878498E-07  5.000000E-01  0.000000E+00  7.167485E-09 -1.848005E-02
     33  1.4545875419955299E-04  9.8688044012442112E+07  7.8888064261009041E+06  1.382835E+17 -3.982196E-07  0.000000E+00 -3.982196E-07  5.000000E-01  0.000000E+00  7.296801E-09 -1.832356E-02
     34  1.8916228840928150E-04  9.8687984024884209E+07  7.8887975522018056E+06  1.382835E+17 -4.071737E-07  0.000000E+00 -4.071737E-07  5.000000E-01  0.000000E+00  7.471721E-09 -1.835020E-02
     35  2.7656935682873854E-04  9.8687864913707107E+07  7.8887798217522511E+06  1.382835E+17 -3.857609E-07  0.000000E+00 -3.857609E-07  5.000000E-01  0.000000E+00  7.385000E-09 -1.914398E-02
     36  4.5138349366765263E-04  9.8687628495947972E+07  7.8887444028893039E+06  1.382835E+17 -3.652893E-07  0.000000E+00 -3.652893E-07  5.000000E-01  0.000000E+00  7.150889E-09 -1.957596E-02
     37  8.0101176734548069E-04  9.8687161506702796E+07  7.8886739561140621E+06  1.382835E+17 -3.635470E-07  0.000000E+00 -3.635470E-07  5.000000E-01  0.000000E+00  7.041098E-09 -1.936778E-02
     38  1.5002683147011370E-03  9.8686267575223491E+07  7.8885360812666323E+06  1.382835E+17 -3.548429E-07  0.000000E+00 -3.548429E-07  5.000000E-01  0.000000E+00  7.005882E-09 -1.974361E-02
     39  2.8987814094124497E-03  9.8684639158405647E+07  7.8882789549682904E+06  1.382835E+17 -3.455025E-07  0.000000E+00 -3.455025E-07  5.000000E-01  0.000000E+00  6.969521E-09 -2.017213E-02
     40  5.6958075988350742E-03  9.8682157722559616E+07  7.8878956565465499E+06  1.382835E+17 -3.364721E-07  0.000000E+00 -3.364721E-07  5.000000E-01  0.000000E+00  6.937418E-09 -2.061811E-02
     41  1.1289859977680325E-02  9.8680975256189898E+07  7.8877641573002636E+06  1.382835E+17 -3.292780E-07  0.000000E+00 -3.292780E-07  5.000000E-01  0.000000E+00  6.919303E-09 -2.101356E-02
